src_text,tgt_text,cosine_score
"bou n nasie wat omgee vir kinders vukuzenzele unnamed geagte me desuidafrika ners, daar is n gesegde in baie afrikakulture wat stel dat dit n ge meenskap vat om n kind groot te maak.
","ho aha naha e kgathallang bana vukuzenzele unnamed hona le maele a tlwaelehileng sethong sa afrika a reng ngwana o hodiswa ke setjhaba.
",0.7658243
"dié idee — dat die breër gemeen skap vir die ontwikkeling, welstand en veiligheid van elke kind verantwoordelik is — gaan deur my gedagtes wanneer ek aan die onlangse tragiese en hoogs ontstellende dood, op n skoolkamp, van 13jarige enock mpianzi, dink.
","mohopolo ona wa hore setjhaba ka bophara se ikarabella ntshetsopeleng, paballe hong le tshireletsong ya ngwana e mong le e mong – o a mphihlela ha ke nahana ka tlokotsi e utlwisang bohloko ya lefu la enock mpianzi ya dilemo tse 13, ya sa tswa hlokahalla ka mpong ya leeto la sekolo.
",0.8864278
"enock is nie die enigste kind wat sy lewe verloor het in omstandighede wat voorkom kon word as volwassenes die nodige voorsorgmaatreëls getref en verantwoordelikheid geneem het.
","ka maswabi, enock ha se yena feela ngwana ya ileng a hloka hala ka mabaka a ka thibelwang ka botlalo, ha feela batho ba baholo ba ka ba le tlhokomelo le boikarabelo ka tshwanelo.
",0.8303025
"dit laat n mens dink aan n ander 13jarige kind, keamohetswe shaun seboko, wat onlangs in n magaliesburgse laerskool se swembad verdrink het, en die twee kinders wat by laerskool lekgolo in limpopo oorlede is toe n trok in n muur vasgery het wat op hulle geval het.
","ke boele ke nahane ka keamohe tswe shaun seboko, ya dilemo tse 13, ya ileng a kgaqwa ke metsi haufinyane letamong la ho sesa la sekolo poraemare sa magaliesburg, le bana ba babedi ba hlokahaletseng sekolong sa poraemare sa lekgolo mane limpopo ha lori e ne e thula le bota le ileng la ba wela hodimo.
",0.85558665
"n mens dink ook aan die talle kinders, soos sesjarige nathlia pienaar, wat in die kruisvuur van ’n bendeoorlog op die kaapse vlakte gesterf het.
","ha motho a nahana ka bana ba bangata, ba jwalo ka nathlia pienaar, ya dilemo tse tsheletseng, ya ileng a bola uwa dintweng tsa ho thunyana ha maqulwana a dinokwane cape flats.
",0.8533993
"ons onthou ook die tragiese dood van michael komape en lumka mkethwa wat dood is toe hulle in puttoilette geval het.
","re boela re hopola ho shwa ka sehloho ha michael komape le lumka mkethwa, ba ileng ba hlokahala ka bobedi ba bona kamora ho wela ka hara mekoti ya matlwana.
",0.8553567
"dit was heeltemal onnodig dat al hierdie jongmense, en baie ander, hul lewens verloor het.
","maphelo a bana bohle, le maphelo a ba bang ba bangata, a ne a sa tlameha ho feela ho hang.
",0.7334256
"al dié tragedies kon voorkom word as die nodige maatreëls om die kinders se veiligheid te verseker, getref was.
","ditlokotsi tsena tsohle di ka be di thibetswe haeba mekgwa ya thibello e ne e sebedi sitswe ho tshireletsa bana bana ba kotsing.
",0.8172387
"dit lyk vir my asof ons, as n samelewing, ons kinders in die steek laat.
","ke bona eka, jwalo ka se tjhaba, re hloleha ho hlokomela bana ba rona.
",0.7202962
"te veel kinders bevind hulself in gevaarlike situasies, hetsy op n tydelike vlot op n rivier of alleen in n gehuggie met n paraffienlamp.
","ke bana ba bangata ba iphumanang ba le kotsing, hore na e ne e le ho etsa lewala nokeng kapa ba siilwe ba le bang ka mokhukhung le lebone la para fini.
",0.79390407
"ons kinders se lewens word in gevaar gestel wanneer kontrakteurs opgrawings onbeskerm laat, skoolinfrastruktuur nie onderhou word nie, of skoolvervoer oorlaai word.
","kapa ka mohlomong bo radikonteraka ba siya mekoti e epilweng e sa tshireletseha kapa meaho ya sekolo e sa hloko melwa, kapa dipalangwang tsa sekolo tseo ho tsona ho pete tswang bana, maphelo a bana a ba kotsing.
",0.8058315
"daar kom egter nog meer nalatigheid en verwaarlosing voor.
","empa ho na le bohlaswa le ho se tsotelle mosebetsing.
",0.7351482
"baie kinders word deur seksuele prooisoekers, kriminele bendes en dwelmverkopers geteiken, juis omdat hulle kwesbaar is.
","bana ba bangata e ba mahlatsipa a dilalome tsa tlhekefetso ya motabo, ditlolo tsa molao tsa maqulwana a dinokwane le barekisi ba dithethefatsi hobane ba ka ba kotsing ha bonolo.
",0.864898
"as n samelewing, moet ons meer toegewyd wees en aktief betrokke wees by die beskerming van ons kinders teen dié en ander gevare.
","jwalo ka setjhaba, re tshwanela ho ba sedi re be re ipabole ntlheng ya ho tshireletsa bana ba rona dikotsing tsena esita le tse ding.
",0.7810272
"ons moet gesamentlik n verantwoordelikheidskultuur opbou.
","jwalo ka setjhaba, re tshwanela ho thea tlwaelo ya ho ba le boikarabelo.
",0.7087226
"ons moet vir onsself, ons kinders en ander verantwoordelikheid aanvaar.
","re tshwanela ho ba le bo ikarabelo, molemong wa bana ba rona le ba bang.
",0.8142551
"ons moet verseker dat ons kinders in n veilige, versorgende en stimulerende omgewing kan grootword; ons moet ook besef dat dit ons plig is om almal wat ons ken en die mense met wie ons omgaan, te beskerm en versorg.
","jwaloka ha re tshwanela ho netefatsa hore bana ba kgona ho holela tikolohong e bolokehileng, ba baletswe mme re hahamalle boemong ba hore re tle re kgone ho ikutlwa re na le boikarabelo ba ho tshireletsa le ho kgathalla bohle bao re ba tsebang, esita le ho buisana le bona.
",0.85379297
"ons moet ook hierdie verpligting op ons land se paaie voel.
","re tlameha ho ikutlwa re na le boikarabelo le tsotello mebileng.
",0.6290795
"ons verwelkom die afname in padsterftes oor die feesseisoen, maar die aaklige werklikheid is dat meer as 1 600 mense in net n maand en n half op ons paaie gesterf het.
","leha re amohela phokotseho ya dikotsi mebileng nakong ya sehla sa matsatsi a phomolo a phethelang selemo, se nyarosang ke hore ke batho ba fetang 1,600 ba ileng ba hlo kahalla mebileng ya rona na kong ya kgwedi le halofo feela.
",0.84009314
"dit is kommerwekkend dat meer as 9 000 motoriste vir oortredings, insluitend dronkbestuur, oorskryding van die spoedgrens en roekelose en nalatige bestuur in hegtenis geneem is.
","se tshosang ke hore bakga nni ba fetang 9,000 ba ile ba kwalelwa ditlolo tsa molao tse kenyeletsang ho kganna tlasa ba tahilwe, lebelo le hodimo, ho kganna ha bohlaswa le ho se tsotelle.
",0.87418485
"n verantwoordelikheidskultuur beteken dat ons almal die verkeersreëls moet nakom en voetgangers en ander padgebruikers se regte moet respekteer.
","tlwaelo ya ho nka boikarabelo e bolela hore re tlameha ho dula re kganna hantle re bile re hlompha ditokelo tsa ditaaso le basebedisi ba bang ba mebila.
",0.81226385
"n verantwoordelikheidskultuur beteken dat pa’s by hulle kinders se lewe ns betrokke moet wees.
","tlwaelo ya ho ba le boikarabelo e bolela hore bontate ba hloka ho ba teng maphelong a bana ba bona.
",0.7967068
"te veel vroue moet hulle kinders alleen grootmaak, wat dikwels hulle en hul kinders se moontlikhede beperk.
","ke basadi ba bangata ba tlamehang ho hodisa bana ba le bang, e leng ntho e fokotsang makgabane a bona le a bana ba bona.
",0.81722283
"n verantwoordelikheidskultuur beteken ook dat ons veilige seks moet hê en nie onsself of ander aan miv moet blootstel nie.
","tlwaelo ya ho ba le boikarabelo e boela hore re tlameha ho ba le thobalano e bolokehileng hore re se ke ra iphumana re le kotsing ya ho tshwaetswa ke hiv kapa ho tshwaetsa ba bang ka yona.
",0.8314246
"ons moenie alkohol en dwelms misbruik nie.
","ha re a tlameha ho sebedisa jwala le dithethefatsi hampe.
",0.76944655
"ons moet gesonde lewens leef sodat ons siektes wat grootliks voorkombaar is kan vermy en langer kan leef.
","re tlameha ho pheella ho phela maphelo a matle hore re tle re pheme mahloko ao e leng hore a ka thibelwa ka hohlehohle, re be re phele maphelo a malelele.
",0.84057784
"sodanige kultuur behoort veral deur diegene in posisies van gesag en invloed, hetsy godsdienstige leiers of politici, tradisionele leiers of beroemdes, omarm te word.
","tlwaelo e jwalo ka ena e tlameha ho ananelwa, haholoholo ke bohle ba nang le tshusumetso esita le ba apesitsweng matla a bolaodi setjhabeng, hore na ke baetapele ba sedumedi kapa ba dipolotiki, ba setso kapa dikgalala tse tummeng.
",0.82033753
