src_text,tgt_text,cosine_score
"ukwakha isitjhaba esitjheja abentwana vukuzenzele unnamed kunesaga esijayele kileko eentjhabeni ezinengi zeafrika esithi umntwana ukhuliswa sitjhaba.
","ukwakha isizwe esikha thalele abantwana vukuzenzele unnamed kukho isaci esiqhe lekileyo kwizizwe zamaafrika ezininzi esithi umntwa na ukhuliswa aqeqeshwe sisizwe.
",0.6850331
"ifundiso le – ethi umphakathi unomsebenzi omkhulu wokukhulisa, ukutjheja zehlalakuhle nokuphepha komntwana ngamunye – kuba liqaloqangi emkhumblulwenami nangicabanga ngesehlo sokuhlongakala okumasikizi kukaenock mpianzi obekaneminyaka eli13 ngesikhathi asekhambeni lesikolo lamhlapha.
","olu luvo – lokuba isizwe ngokubanzi sinoxanduva lokukhulisa, intlalontle kunye nokhuseleko lomntwana ngamnye – luza engqondweni yam xa ndicinga ngokusweleka kabuhlungu nakalusizi kukaenock mpianzi oneminyaka eli13 kutshanje ngethuba bekukhenketho lwesikolo.
",0.40461475
"ngetjhudwelimbi, akusin guenock kwaphela umntwa na olahlekelwe yipilwakhe ngabonobangela egade bangakhandelwa, kwaphela nagade abantu abakhulu bathatha igadango elifaneleko lokubatjheja begodu baba nokuziphendulela.
","okubuhlungu kukuba uenock akukuphela komntwana ophulukene nobomi bakhe ngenxa yezinto ebezinokuthi ntelwa, ukuba nje abantu abada la bebeziqhelanise nokukhatha la nokuthatha uxanduva.
",0.67668074
"ngikhumbula godu omunye oneminyaka eli13 ukeamohetswe shaun seboko okghan ywe mamanzi mhlapha edamini lesikolo samabanga aphasi semagaliesburg nabantwana ababili abahlongakele elekgolo primary school, eselimpopo lokha itrogo itjhayisa iboda elagirikela phezu kwabentwanaba.
","le nto inditsho ndacinga ngomnye umntwana naye oneminyaka eli13, ukeamohetswe shaun seboko, osandula ukutshona kwidama lokuquba kwisikolo samabanga aphantsi emaga liesburg, nabanye abantwana ababini abasweleke kwisikolo ilekgolo primary elimpopo xa iloli ithe yatshayisa udonga lwabawela.
",0.46652576
"emkhumbulwenami kufika nabantwana abanengi, abanjengonathlia pienaar – oneminyaka esi6ababulawa nakudumuzana amagenge ecape flats.
","le ntlungu inditsho ndacinga ngabanye abantwana abaninzi, abafana nonathlia pienaar oneminyaka emi6 ubudala, owabulawa kwimfazwe yemigulukudu eyayidubulana kummandla wecape flats.
",0.73024154
"sikhumbula godu ukuhlongakala okumasikizi kwakamichael komape nolumka mkethwa ababulawa kuwela ngeendlwaneni zoku zithuma zomgodi.
","sikhumbula kwakhona uku sweleka kabuhlungu kukami chael komape kunye nolumka mkethwa, bobabini basweleka emva kokuba betshone kwi mingxuma yezindlu zangasese ezingagungxulwayo.
",0.70199466
"besingakafaneli ukula hlekelwa maphilo wabantu abasesebancani kangaka, namaphilo wabanye abanengi abangakabalwa.
","bonke abo bantwana, kunye nabanye abaninzi, bekungafunekanga ukuba baphulukene nobomi babo.
",0.4581369
"zoke iingozezi gade zingakhandelwa nange bekuthethwe amagadango afane leko wokuvikela abantwanaba.
","zonke ezi ntlekele bezinako ukuthintelwa ukuba bekuthatyathwe amanyathelo okubagcina aba bantwana bekhuselekile.
",0.51917565
"kubonakala ingasuthi thina simphakathi siliselela abentabethu.
","apha kum kuyacaca ukuba, njengesizwe, siyasilela ekudlaleni indima yethu kuba ntwana bethu.
",0.44303545
"abentwana abanengi bazifumana basengozini, engaba sike jana sokuzenzela esikhanjiswa ngemlanjeni nofana batjhiywe babodwa ngemkhukhwini onekesi yepharafeni.
","uninzi lwabantwana lu zifumana lukwiimeko ezi nobungozi.
",0.5031604
"lokha abosokontraka nabatjhiya imigodi ingakavaleki nofana imithangalasisekelo yeenkolo ingatjhejwa nofana iinthuthi zabafundi zilayitjhe ngokudluleleko, amaphilo wabentwana abasengozini.
","ezinye zezo meko zifana nokubulawa nguzenzele wephenyane emlanjeni okanye basutywe kukufa kuba beshiyeke bodwa kwityotyombe elinesibane separafini.
",0.6611217
"kodwanake kunezenzo ezinye ezingaphezu kokunga tjheji nokungenzi umseben zi ngefanelo.
","xa iinkampani ezakhayo zishiya imisele eziyigrumbileyo ingagqunywanga okanye izakhiwo zesikolo zinga gcinwanga kakuhle okanye izithuthi zabantwana zigcwele kakhulu, ubomi babantwana bubekwa ebungozini.
",0.548259
"abentwana abanengi basahlelwa ziinlelesi ezibagagadlhelako, amagenge nabathengisi beendakamizwa ngombana abanabuyo.
","kodwa ayikokungakha thali nokungahoyi kuphela okubangela le ngxaki.
",0.609366
"si mphakathi sitlhoga ukuzimisela nokulima indima ekuvikeleni abentabethu eengozinezi.
","uninzi lwabantwana lusemngciphe kweni wabantu ababaxhaphaza ngezesondo, amaqela emigulukudu kunye nabathengisi beziyobisi kanye kuba besaziwa ukuba ngabantwana abanokwenziwa izisulu lula.
",0.6104626
"simphakathi kudingeka bona sitjale isiko lokuziphendulela.
","njengesizwe, kufuneka sihlale sibaze amehlo kwaye siwumele ngeenyawo umba wokukhusela abantwana bethu kwiingozi ezifana nezi.
",0.50782746
"kufuze siziphendulele kithi ngokwethu, senzele abentabethu nabanye.
","njengesizwe, kufuneka sizifundise ukuthatha uxanduva.
",0.40765345
"nje ngalokha sitlhoga ukuqinise kisa bonyana abentwana ba kghona ukukhulela endaweni ephephileko, ethokomeleko nekhuthazako, kufuze nathi sizizwele umsebenzi wokuvikela nokunakekela boke labo esibaziko nesinetjhebiswano nabo.
","kufuneka sizikhathalele thina, abantwana bethu kunye nabanye abantu.
",0.4970708
"kufuze kube mthwalo wethu ukutjheja eendleleni.
","njengoko kufuneka siqinisekise ukuba abantwana bethu bakhulela kwindawo ekhuselekileyo, efudumeleyo nehlaziyayo, ngokunjalo ke kufuneka sizive sinoxanduba lokukhusela nokukhathalela bonke abo sibaziyo nesinxibelelana nabo.
",0.25422168
"nanyana sikwamukela ukwehla kwesibalo sabahlongakalele eengozini zendlela kilesisikhathi sokuphumula, iqiniso lendaba kukobana bangaphezulu kwe1,600 abahlongakalele eendleleni zethu esikhathini esingaba yinyanga nesiquntu.
","kufuneka siwuve lo msebenzi wokukhathalela endle leni.
",0.44062918
"kuzwisa ubuhlungu ukubikelwa bona abatjhayeli abangaphezu kwee9 000 babotjhelwe imilandu efaka hlangana ukutjhayela basele, ukutjhayela ngebelo eliphezulu nokutjhayela ngokungatjheji.
","nangona zichulumancisa iindaba zokwehla kwenani labantu abasweleke kwiingozi zendlela kwezi holide zehlobo, intlungu embi yeyokuba bangaphezu kwe1,600 abantu abasweleke ezindleleni kwisithuba nje esiyinyanga enesiqingatha.
",0.35547417
"isikopilo lokuziphendulela libiza bonyana kufuze soke sitjhayele ngokuphepha nangokuhlonipha amalungelo wabakhamba ngeenyawo nabanye abasebenzisi beendlela.
","iyadanisa into yokuba abaqhubi zimoto abangama9,000 babanjelwe amatyala aquka ukuqhuba phantsi kweempembelelo zotywala, ukuqhuba ngesa ntya esiphezulu, nokuqhuba kakubi nangokungakhathali.
",0.6143807
"isikopilo lokuziphendulela litjho bonyana kufuze abobaba babe yingcenye ekulu epi lweni yabentababo.
","ukuthatha uxanduva kuthetha ukuba kufuneka sonke siqhube ngenkathalo futhi sihloniphe amalungelo abahambi ngee nyawo nabanye abasebenzisi bendlela.
",0.55111814
"abomma abanengi baqalene nomsebenzi wokukhulisa abentwana babodwa, lokhu kuletha ukwehla kwethemba lokuphe pha nelokhunye kibo nebe ntwaneni babo.
","ukuthatha uxanduva kuthetha ukuba ootata kufuneka babekhona ebomini baba ntwana babo.
",0.62013674
"umukghwa wokuziphe ndulela utjho bonyana kufuze siye emsemeni ngendlela ephephileko singazibizeli ihiv .
","maninzi amanina ekufuneka ezikhulisele aba ntwana babo bodwa, into leyo inciphisa amathuba abo kunye nawabantwana babo okuphumelela ebomini.
",0.5659224
"singaseli utjwala khulu nofana sisebenzise iindakamizwa.
","ukuthatha uxanduva kuthetha nokuba kufuneka sizikhusele kwezesondo futhi singabezibeki thina okanye abanye esiche ngeni sokosulelwa yihiv .
",0.5138637
"kufuze siphile ipilo ephephileko sikhandele amalwele anokuvikeleka sikwazi ukuphila isikhathi eside.
","kufu neka singaseli utywala kakhulu okanye sisebenzise iziyobisi.
",0.6048353
