src_text,tgt_text,cosine_score
"re aga setšhaba seo se hlokomelago bana vukuzenzele unnamed go na le seema seo se tlwaelegilego ditšong tša se afrika seo se rego ngwa na o godišwa ke setšha ba.
","u fhaṱa lushaka lu ṱhogomelaho vhana u fhaṱa lushaka lu ṱhogomelaho vhana vukuzenzele unnamed hu na murero wo ḓoweleaho kha mvelele nnzhi dza vhathu vha afrika une wa ri zwi dzhia muvhu ndu woṱhe u alusa ṅwana.
",0.83768225
"kgopolo ye – ya gore setšhaba ka bophara se na le maikarabelo a magolo go kgodišo, go boitekanelo le polokego ya ngwana yo mongwe le yo mongwe – e ntlela mogopolong ge ke nagana ka lehu la masetlapelo la go nyamiša kudu la mošemane wa mengwaga ye 13, enock mpianzi, ge a be a le kampeng ya sekolo matšatši a se makae ao a fetilego.
","muhumbulo uyu – wa uri vhadzulapo vhoṱhe vha na vhuḓifhinduleli ha u bveledzisa, vhuvha na tsire ledzo ya ṅwana muṅwe na muṅwe – murero uyu u a ḓa musi ndi tshi humbula nga ha ḽikhaulambilu na lufu lu vhaisaho zwihulu lwa enock mpianzi wa vhukale ha miṅwaha ya 13 lwo iteaho zwezwino khempheni ya tshikolo.
",0.8363091
"ka manyami, enock ga se ngwana a le tee yoo a lobilego bophelo bja gagwe ka mabaka ao a ka bego a thibetšwe ge feela nkabe batho ba bagolo ba bile le tlhokomelo le ma ikarabelo.
","zwi vhaisaho ndi zwauri, enock a si ene ṅwana e eṱhe we a xelelwa nga vhutshilo nga zwiitisi zwine zwa vhukuma zwa nga thivhelea, arali vhathu vhahulwane vho vha vho ṋe tshedza ndondolo na vhuḓifhi nduleli.
",0.80894303
"ke gopola le ngwa na yo mongwe wa mengwaga ye 13, keamohetswe shaun seboko, yoo matšatši a se makae a fetilego a kgamilwego ke meetse ka letangwaneng la go ruthela la sekolo sa phoraemari sa magaliesberg, le bana ba babedi bao ba hlokofetšego sekolong sa phoraemari sa lekgolo ka limpopo morago ga ge theraka e se no thula leboto leo le ilego la ba wela.
","muthu u a dovha hafhu a humbula nga ha muṅwe wa vhukale ha miṅwaha ya 13, keamohetswe shaun seboko, we a nwela khothe zwenezwino damuni ḽa u bambela ḽa tshikolo tsha phuraimari tsha magalie sburg, na vhana vhavhili vhe vha lovha tshikoloni tsha phuraimari tsha lekgolo ngei limpopo musi ṱiraka ḽi tshi zhaka luvhondo lwa vha wela.
",0.5889968
"ke gopola gape le bana ba bangwe ba bantši, bjalo ka nathlia pienaar wa mengwaga ye 6 yoo a ilego a bolawa nakong ya dintwa tša digo ngwane tša dinokwane go la cape flats.
","muthu u a dovha a humbula hafhu nga ha vhana vhanzhi, sa nathlia pienaar wa vhukale ha miṅwaha ya 6, vhane vha khou vhulawa kha nndwa dza magevhenga ngei fuletheni dza kapa.
",0.8160356
"re gopola gape le mahu a masetlapelo a michael komape le lumka mkethwa bao bobedi bja bona ba hlo kofetšego morago ga go wela ka dintlwaneng tša boithomelo tša melete.
","ri humbula hafhu mpfu dzi khaulaho mbilu dza michael komape na lumka mkethwa, vhuvhili havho vho lovha musi vho wela kha mabunga a dindi.
",0.85325897
"maphelo ao a go kgaotšwa e sa le a mannyane, mmogo le a ba bangwe ba bantši, nkabe a se a ba a lobja.
","matshilo oṱhe ayo a vhathu vhaṱuku, na matshilo a vhaṅwe vhanzhi, o vha a tshi ḓo vha a songo ṱuwa.
",0.68700385
"ditiragalo tše ka moka tša masetlapelo nkabe di ile tša thibelwa ge nkabe go bile le magato ao a tšerwego go efoša bana ba dikotsing.
","makhaula mbilu haya oṱhe o vha a tshi ḓo vha o thivhelea arali ho vha na maga o dzhiwaho a u tsireledza vhana kha fhethu hu huvhadzaho.
",0.70474267
"go a bonagala go nna gore, bjalo ka setšhaba, re a palelwa ge go etla baneng.
","zwi ntsumbedza uri, sa lushaka, ri khou laṱedza vhana vhashu.
",0.59494025
"bana ba bantši kudu ba ikhwetša ba le maemong a kotsi, e kaba e le ge ba nametše seketswana sa maitirelo ka nokeng goba ba tlogetšwe ba le tee ka mokhukhung moo go tukago lebone la parafene.
","vhana vhanzhi vha ḓiwana vhe kha nyimele dzi ofhisaho, kana tshikhwekhwethe tsha tshifhinganyana mulamboni kana u vha sia vha vhoṱhe mukhukhuni hu na lammba ḽa pharafeni.
",0.7709769
"ge borakonteraka ba tlogela moo ba epilego go se gwa šireletšega, goba mananeokgoparara a sekolo a sa hlokomelwe goba senamelwa sa bana ba sekolo se nameditše bana ba bantši go feta tekano, gona maphelo a bana a bewa kotsing.
","musi vhorakhonhṱiraka vha tshi sia mitshini i songo tsireledzea kana themamvele dziso dza tshikolo dzi sa khou londotwa kana tshiendedzi tsha u ya tshikoloni tsho ḓala lu kalulaho, matshilo a vhana a vha o vhewa kha khombo.
",0.8421781
"eupša go na le go hloka šedi go gontši le go hloka tlhokomelo mešomong.
","fhedzi hu na zwinzhi u fhirisa u sa vha na ndavha na u sokou litshedzela mushumo.
",0.695184
"bana ba bantši ba hlaselwa ke basenyi ba go phaya theto ka kgang, digongwana tša basenyi le batho ba go gweba ka diokobatši ka gobane bana ba ba kotsing.
","vhana vhanzhi ndi zwipondwa zwa vhabtzipi, magevhenga na vharengisi vha zwidzidzivhadzi nga maanḓa ngauri a vha koni u ḓitsireledza.
",0.7864072
"bjalo ka setšhaba, re swanetše go ntšha mahlo dinameng kudu le go kgatha tema kudu go šireletša bana ba rena go basenyi ba le go dikotsi tše dingwe.
","sa lushaka, ri tea u vha na vhuronwane na u ṱalifha vhukuma kha zwa u tsireledza vhana vhashu kha khombo idzi na dziṅwe.
",0.76597214
"bjalo ka setšhaba, re swanetše go aga setlwaedi sa maikarabelo.
","sa lushaka, ri tea u fhaṱa mvelele ya vhuḓifhinduleli.
",0.6290287
"re hloka gore re be le maika rabelo go rena, go bana ba rena le go batho ba bangwe.
","ri tea u vha na vhuḓifhinduleli kha riṋe vhaṋe, kha vhana vhashu na kha vhaṅwe.
",0.69584656
"bjalo ka ge re hloka go netefatša gore bana ba golela tikolo gong yeo e bolokegilego,ye e ba hlokometšego le go ba hlohleletša, gona ka fao le gona se swanetše go ikwa re rwele maikarabelo a go šireletša le go hlokomela bohle bao re ba tsebago ebile re phedišanago le bona.
","musi ri tshi ṱoḓa u vhona uri vhana vha khou kona u aluwa kha vhupo vhu na ṱhuṱhuwedzo, ndondolo na tsireledzo, zwo ralo ri tea u pfa zwi mushumo washu u tsireledza na u londota vhoṱhe vhane ra vha ḓivha na vhane ra tshilisana navho.
",0.87854254
"re swanetše re ikwe re na le maikarabelo a ge re le ditseleng.
","ri tea u pfa mushumo hoyu wa u londota na musi ri dzibadani.
",0.6388942
"le ge re amogela go fokotšega ga dipalopalo tša mahu ditseleng mo sehleng se sa maikhutšo, sa go nyamiša kudu ke gore batho ba go feta 1,600 ba hlokofetše ditseleng tša gaborena mo nakong ya kgwedi le seripa feela.
","musi ri tshi khou ṱanganedza phungudzeo kha khombo dza badani kha tshifhinga tsha madakalo, ngoho i shushaho ndi ya uri vhathu vha fhiraho 1,600 vho lovha dzibadani dzashu kha tshifhinga tsha ṅwedzi na hafu.
",0.8753531
"go a hlobaetša gore baotledi ba go feta ba 9,000 ba ile ba sware lwa melato yeo e akaretšago go otlela ba nwele bjala, go otlela ka lebelo la godimo, go otlela bošaedi le ka go hloka šedi.
","zwi a kula nungo zwauri vhareili vha fhiraho 9,000 vho farelwa vhutshinyi vhu katelaho u reila vho kambiwa, luvhilo, u reila nga u sa londa.
",0.76256806
"setlwaedi sa maikarabelo se ra gore ka moka ga rena re swanetše re otlele ka polokego re be re hlomphe le ditokelo tša basepelakadinao le badiriši ba bangwe ba tsela.
","mvelele ya vhuḓifhinduleli zwi amba uri roṱhe ri tea u reila nga vhuronwane na u ṱhonifha pfanelo dza vhaendangaṋayo na vhaṅwe vhashumisi vha bada.
",0.847644
"setlwaedi sa maikarabelo se ra gore botate ba swanetše go ba gona maphelong a bana ba bona.
","mvelele ya vhuḓifhinduleli zwi amba uri vhokhotsi vha tea u vha hone kha matshilo a vhana vhavho.
",0.747332
"basadi ba bantši kudu ba godiša bana ba le tee, gomme se gantši se se fokotša tšwelopele ya bona mmogo le ya bana ba bona.
","vhafumakadzi vhanzhi vha alusa vhana vhe vhoṱhe, zwine zwa anzela u fhungudza khonadzeo dzavho dza u bvelela na dza vhana vhavho.
",0.7325226
