src_text,tgt_text,cosine_score
"kwakha sive lesinakekela bantfwana vukuzenzele unnamed kunesaga lesivamile kumasiko lamanengi aseafrika lesitsi kungumsebenti wesigodzi sonkhe kukhulisa umntfwana.
","ku aka rixaka leri hlayisaka vana vukuzenzele unnamed ku na xivuriso lexi xi kumekaka exika rhi ka mifuwo yo tala lexi xi nge n’wana a hi wa un’we.
",0.8678626
"lomcondvo lona – wekutsi wonkhe ummango unemsebenti wekukhulisa, kunakekela nekuvikela umntfwana ngamunye – ufika emcondvweni wami uma ngicabanga ngelusizi nangekufa lokucasulanako kwaenock mpianzi lonemimnyaka le13 enkanjini yesikolo lesandza kubanjwa.
","miehleketo leyi, ya leswaku muganga na vukulu bya wona wu na vutihlamuleri byo kurisa, ku nyika rihanyo na vuhlayiseki eka n’wana swi ta emiehleketweni ya mina loko ndzi anakanya rifu ra mahlomulambilu ra enock mpianzi wa malembe ya 13 ekampeni ya xikolo leya ha ku vaka kona.
",0.943775
"lokudzabukisako kutsi, enock akusuye kuphela umntfwana lolahlekelwe yimphilo yakhe ngetizatfu lebetingavikelwa ngalokuphelele, kuphela nje uma ngabe bantfu labadzala bebente umsebenti wabo wekunakekela.
","mhaka yo vava hileswaku enock a hi n’wana a ri yexe loyi a lahlekeriweke hi vutomi bya yena hi swivangelo leswi a swi ta siveleka, loko ntsena vatswatsi a va kota ku hlayisa na ku va na vutihlamuleri.
",0.9540639
"lomunye umuntfu angacabanga ngalomunye loneminyaka le13, keamohetswe shaun seboko, losandza kushonela echibini lekubhukusha lasesikolweni semabanga laphansi imagalie sburg, nalabantfwana lababili labashonele elekgolo primary school elimpopo ngesikhatsi iloli ishayisa lubondza lwabese luwela etukwabo.
","hi nga tlhela hi ehleketa hi keamohetswe shaun seboko wa 13 wa malembe, loyi a nga nwela exidziveni xa xikolo xa phura yimari xa magaliesburg, na vana lavaya vambirhi lava nga lova exikolweni xa phurayimari xa lekgolo elimpopo endzhaku ka loko lori yi tlumbanile na khumbi kutani ri va wela.
",0.9458106
"lomunye umuntfu futsi angacabanga ngalabanye bantfwana labanengi, labanjenganathilia pienaar, loneminyaka le6, labashona uma kudubulana emacembu emagenge asecape flats.
","hi nga tlhela hi ehleketa hi ta vana vo tala, ku fana na n’wana wa malembe ya tsevu nathlia pienaar, loyi a dlaweke handle ka nandzu etinyimpini ta mitlawa etifuleteni ta kapa.
",0.94254565
"sikhumbula futsi lusizi lwekushona kwabomichael komape nalumka mthethwa, bobabili bashona ngekugcumukela emthoyi wemgodzi.
","hi tlhela hi tsundzuka mafu ya mahlomulambilu ya michael komape na lumka mkethwa, lava havambirhi va loveke endzhaku ka ku wela eswiha mbukelweni swa magoji.
",0.9293319
"tonkhe letimphilo tebantfu labasha, netimphilo talabanye labanengi, bekungadzingeki kutsi tilahleke.
","vutomi lebyi hinkwabyo ka byona bya vana lavatsongo, na vutomi bya van’wana lavo tala, a byi fanele byi nga lahlekangi.
",0.9112104
"tonkhe leti nhlekelele betingavikelwa uma ngabe bekutsetfwe tinyatselo tekuvikela labantfwana kutimo letinebungoti.
","makhombo lawa hinkwawo ka wona a ya fanele ya siveriwile loko a ku tekiwile tindlela to ma sivela hi ku endla leswaku vana lava va kumeka etindhawini leti hlayisekeke.
",0.9119262
"kimi kubukekasengatsi, singummango, siyehluleka kunakekela bantfwana betfu.
","hi ku vona ka mina, tanihi rixaka, hi le ku tsandzekeni ku hlayisa vana va hina.
",0.86613905
"bantfwana labanengi kakhulu batitfola basetimeni letiyingoti, kungaba sihlenge semapula ngo/setingondvo lesakhi we ngetandla lesisemfuleni noma kubashiya babodvwa emkhukhwini nesibane saphala fini.
","vana vo tala kutlula mpimo va tikuma va ri eka swiyimo swa khombo, ku nga va swikwekwetsu swa xinkadyana ena mbyeni, kumbe va tshikiwa va ri voxe emikhukhwini na rivoni ra pharafini.
",0.9436139
"uma bosonkontileka bashi ya imigodzi ingakavikeleki noma kunganakekeli sakhiwonchanti esikolweni noma kugcwalisa ngalokwendlulele tigitjelwa letiya esikolweni, timphilo tebantfwana tibekwa engotini.
","loko van’watikontiraka va tshika michini yo cela misava yi nga sirheleriwa nga kumbe swimakiwakulu swa xikolo swi nga sirheleriwangi kumbe swifambo swa xikolo swi rhwala vana vo tala kutlula mpimo, sweswo swi tisa nxungeto evuton'wini bya vona.
",0.93456304
"kodvwa kukhona lokwe ntwako lokungetulu kweku nganakekeli kanye nekunganaki.
","kambe ku na swo tala swo tlula futa leri ndzi vulavulaka harona.
",0.8689298
"bantfwana labanengi bahlanga betana nalabo lababahlukume ta ngekwemacansi, emagenge etigebengu nalabo labatsengisa tidzakwamiva ngenca yekutsi bahlaseleka kalula.
","vana vo tala va landzeleriwa hi swifamona leswi lavaka ku va hlasela hi timhaka ta swa masangu, mitlawa ya vugevenga na vaxavisi va swidzidziharisi hikuva vana lava va hlaseleka hi ku olova.
",0.95260817
"singu mmango, kufuneka sikhulise buhlakani nekukhutsala kwetfu kuvikela bantfwana betfu kuloku nakuletinye tintfo letiyingoti.
","tanihi rixaka, hi fanele ku tshama hi pfule mahlo ni ku xalamuka ku hlayisa vana va hina emakhombyeni lawa.
",0.87748134
"singummango, kufanele sibe nelisiko lekuba nesibopho.
","tanihi rixaka, hi fanele ku vumba ntolovelo wa vutihlamuleri.
",0.8362627
"kufuneka kutsi sibe nesibopho kitsi ngekwetfu, kubantfwana betfu nakulabanye.
","hi fanele ku va ni vutihlamuleri bya hina vini, bya vana va hina na van’wana.
",0.974555
"njengoba kufuneka sicinisekise kutsi bantfwana bayakhona kukhula kusimondzawo lesiphephile, lesinakekelako nalesivuselelanako, ngakoke kufuneka sitive sinemsebenti wekuvikela nekunakekela bonkhe labo lesibatiko nalesitsantsana nabo.
","ku fana na ku tiyisisa leswaku vana va kula etindhawini leti hlayisekeke, leti akaka na ku nyanyula.
",0.80264986
"kufuneka siwuve lomsebenti wekunakekela emigwacweni.
","swi tano, hi fanele ku titwa hi ri na ntirho wo hlayisa vanhu hinkwavo lava hi va tivaka na ku tshama na vona.
",0.61915016
"nanoma sikwemukela lokwehla kwelizinga letingoti temgwaco ngalesikhatsi semaholide, liciniso lelingatsandzeki litsi bantfu labangetulu kwe1,600 bafile emigwacweni yetfu esikhatsini lesiyinyanga nesigamu.
","hi fanele ku titwa hi ri na ntirho lowu emagondzweni.
",0.5872743
"ku yaphatamisa kuva kutsi ba shayeli labangetulu kwe9,000 baboshwelwe emacala lafaka ekhatsi kushayela badzakiwe, kugijimisa nekushayela budla bha nekushayela ngekungana ki.
","loko hi ri karhi hi amukela ku ya ehansi ka mafu emagondzweni hi nkarhi wa makhisimusi, ntiyiso wo vava hileswaku kutlula vanhu va 1, 600 va lovile emagondzweni ya ka hina en’hwetini yin’we na hafu.
",0.7016072
"lisiko lekuba nesibopho lisho kutsi kufuneka sonkhe sishayele ngalokuphephile futsi sihloniphe emalungelo alabahamba ngetinyawo nalabanye basebentisi bemgwaco.
","swi hlambisa timbilu ku tiva leswaku kutlula 9, 000 wa vachayeri va mimovha va khomiwile hikwalaho ka milandzu leyi katsaka ku chayela va pyopyiwile, ku chayela hi rivilo na ku chayela hi vuso fa.
",0.69759476
"bomake labanyenti bakhulisa bantfwana babodvwana, lokubeseke ku khinyabeta kutitfutfukisa kwabo nekwebantfwana babo.
","ntolovelo wa vutihlamuleri swi vula leswaku hinkwerhu hi fanele ku chayela hindlela leyi hlayisekeke na ku hlonipha timfanelo ta van’wamilenge na van’wana va tirhisa va magondzo.
",0.6943111
"lisiko lekuba nesibopho lisho kutsi bobabe kufuneka babe khona etimphilweni teba ntfwana babo.
","ntolovelo wa vutihlamuleri swi vula leswaku vatatana va fanele ku va kona evuton’wini bya vana va vona.
",0.9636916
"bomake labane ngi kakhulu kudzingeke kutsi bakhulise bantfwana babodvwa, lokuvamise kunciphisa litsemba labo nalelo lebantfwana babo.
","vamanana vo tala va kumeka va kurisa vana va vona va ri voxe, leswi swi hungutaka vuswikoti bya vona na vana va vona byo humelela.
",0.88316166
"lisiko lekuba nesibopho futsi lisho kutsi kufuneka sisebentise tindlela letiphephile tekuya eca nsini, singativuleli kutsi singen we noma sesulele labanye ngehiv .
","ntolovelo wa vutihlamuleri swi tlhela vula leswaku hi fanele ku tisirhelela loko hi endla timhaka ta swa masangu hi papalata ku tihoxa na ku hoxa van’wana ekhombyeni ra hiv .
",0.9230672
"akufuneki sinatse tjwala noma sisebentise tidzakamiva budlabha.
","a hi fanelanga ku tirhisa xihoko hi tindlela to biha na ku tirhisa swidzidziharisi.
",0.97733283
"kufuneka sifune kuphila imphilo lenemphilo kute sivikele tifo levikelekako bese siphila imphilo lendze.
","hi fanele ku navela ku hanya vutomi bya rihanyo lerinene leswaku hi papalata mavabyi lama yo tala lawa ya sivelekaka leswaku hi va na vutomi byo leha.
",0.9356333
"lisiko lelinjena kufuneka lemukelwe lichutjwe kakhulu ngulabo labasetikhundleni letisetulu emmangweni naletine mtselela ebantfwini, kungaba baholi betenkholo noma bosopoliti ki, baholi bendzabuko noma bo satiwako.
","ntolovelo wo tano wu fanele ku amukeriwa ngopfungopfu hi vanhu lava erixakeni va nga na swiyimo swa matimba na nkucetelo, ku nga varhangeri va vukhongeri kumbe van’watipolitiki, varhangeri va xintu kumbe vanhu va ndhuma.
",0.9601632
"ngemagama netento tabo, kufuneka bafune kwakha ummango loncono lapho khona wonkhe umuntfu atawubongwa khona futsi anakekelwe.
","hi marito kumbe swiendlo swa vona, va fanele ku aka tiko laha vanhu hinkwavo va tekeriwaka enhlokweni na ku hlayiseka.
",0.9245302
