src_text,tgt_text,cosine_score
"ku aka rixaka leri hlayisaka vana vukuzenzele unnamed ku na xivuriso lexi xi kumekaka exika rhi ka mifuwo yo tala lexi xi nge n’wana a hi wa un’we.
","u fhaṱa lushaka lu ṱhogomelaho vhana u fhaṱa lushaka lu ṱhogomelaho vhana vukuzenzele unnamed hu na murero wo ḓoweleaho kha mvelele nnzhi dza vhathu vha afrika une wa ri zwi dzhia muvhu ndu woṱhe u alusa ṅwana.
",0.5745958
"miehleketo leyi, ya leswaku muganga na vukulu bya wona wu na vutihlamuleri byo kurisa, ku nyika rihanyo na vuhlayiseki eka n’wana swi ta emiehleketweni ya mina loko ndzi anakanya rifu ra mahlomulambilu ra enock mpianzi wa malembe ya 13 ekampeni ya xikolo leya ha ku vaka kona.
","muhumbulo uyu – wa uri vhadzulapo vhoṱhe vha na vhuḓifhinduleli ha u bveledzisa, vhuvha na tsire ledzo ya ṅwana muṅwe na muṅwe – murero uyu u a ḓa musi ndi tshi humbula nga ha ḽikhaulambilu na lufu lu vhaisaho zwihulu lwa enock mpianzi wa vhukale ha miṅwaha ya 13 lwo iteaho zwezwino khempheni ya tshikolo.
",0.6660782
"mhaka yo vava hileswaku enock a hi n’wana a ri yexe loyi a lahlekeriweke hi vutomi bya yena hi swivangelo leswi a swi ta siveleka, loko ntsena vatswatsi a va kota ku hlayisa na ku va na vutihlamuleri.
","zwi vhaisaho ndi zwauri, enock a si ene ṅwana e eṱhe we a xelelwa nga vhutshilo nga zwiitisi zwine zwa vhukuma zwa nga thivhelea, arali vhathu vhahulwane vho vha vho ṋe tshedza ndondolo na vhuḓifhi nduleli.
",0.55937326
"hi nga tlhela hi ehleketa hi keamohetswe shaun seboko wa 13 wa malembe, loyi a nga nwela exidziveni xa xikolo xa phura yimari xa magaliesburg, na vana lavaya vambirhi lava nga lova exikolweni xa phurayimari xa lekgolo elimpopo endzhaku ka loko lori yi tlumbanile na khumbi kutani ri va wela.
","muthu u a dovha hafhu a humbula nga ha muṅwe wa vhukale ha miṅwaha ya 13, keamohetswe shaun seboko, we a nwela khothe zwenezwino damuni ḽa u bambela ḽa tshikolo tsha phuraimari tsha magalie sburg, na vhana vhavhili vhe vha lovha tshikoloni tsha phuraimari tsha lekgolo ngei limpopo musi ṱiraka ḽi tshi zhaka luvhondo lwa vha wela.
",0.43972987
"hi nga tlhela hi ehleketa hi ta vana vo tala, ku fana na n’wana wa malembe ya tsevu nathlia pienaar, loyi a dlaweke handle ka nandzu etinyimpini ta mitlawa etifuleteni ta kapa.
","muthu u a dovha a humbula hafhu nga ha vhana vhanzhi, sa nathlia pienaar wa vhukale ha miṅwaha ya 6, vhane vha khou vhulawa kha nndwa dza magevhenga ngei fuletheni dza kapa.
",0.67035866
"hi tlhela hi tsundzuka mafu ya mahlomulambilu ya michael komape na lumka mkethwa, lava havambirhi va loveke endzhaku ka ku wela eswiha mbukelweni swa magoji.
","ri humbula hafhu mpfu dzi khaulaho mbilu dza michael komape na lumka mkethwa, vhuvhili havho vho lovha musi vho wela kha mabunga a dindi.
",0.65203136
"vutomi lebyi hinkwabyo ka byona bya vana lavatsongo, na vutomi bya van’wana lavo tala, a byi fanele byi nga lahlekangi.
","matshilo oṱhe ayo a vhathu vhaṱuku, na matshilo a vhaṅwe vhanzhi, o vha a tshi ḓo vha a songo ṱuwa.
",0.5019871
"makhombo lawa hinkwawo ka wona a ya fanele ya siveriwile loko a ku tekiwile tindlela to ma sivela hi ku endla leswaku vana lava va kumeka etindhawini leti hlayisekeke.
","makhaula mbilu haya oṱhe o vha a tshi ḓo vha o thivhelea arali ho vha na maga o dzhiwaho a u tsireledza vhana kha fhethu hu huvhadzaho.
",0.35682046
"hi ku vona ka mina, tanihi rixaka, hi le ku tsandzekeni ku hlayisa vana va hina.
","zwi ntsumbedza uri, sa lushaka, ri khou laṱedza vhana vhashu.
",0.41511577
"vana vo tala kutlula mpimo va tikuma va ri eka swiyimo swa khombo, ku nga va swikwekwetsu swa xinkadyana ena mbyeni, kumbe va tshikiwa va ri voxe emikhukhwini na rivoni ra pharafini.
","vhana vhanzhi vha ḓiwana vhe kha nyimele dzi ofhisaho, kana tshikhwekhwethe tsha tshifhinganyana mulamboni kana u vha sia vha vhoṱhe mukhukhuni hu na lammba ḽa pharafeni.
",0.5762605
