src_text,tgt_text,cosine_score
"ku aka rixaka leri hlayisaka vana vukuzenzele unnamed ku na xivuriso lexi xi kumekaka exika rhi ka mifuwo yo tala lexi xi nge n’wana a hi wa un’we.
","ukwakha isizwe esikha thalele abantwana vukuzenzele unnamed kukho isaci esiqhe lekileyo kwizizwe zamaafrika ezininzi esithi umntwa na ukhuliswa aqeqeshwe sisizwe.
",0.8947174
"miehleketo leyi, ya leswaku muganga na vukulu bya wona wu na vutihlamuleri byo kurisa, ku nyika rihanyo na vuhlayiseki eka n’wana swi ta emiehleketweni ya mina loko ndzi anakanya rifu ra mahlomulambilu ra enock mpianzi wa malembe ya 13 ekampeni ya xikolo leya ha ku vaka kona.
","olu luvo – lokuba isizwe ngokubanzi sinoxanduva lokukhulisa, intlalontle kunye nokhuseleko lomntwana ngamnye – luza engqondweni yam xa ndicinga ngokusweleka kabuhlungu nakalusizi kukaenock mpianzi oneminyaka eli13 kutshanje ngethuba bekukhenketho lwesikolo.
",0.9272196
"mhaka yo vava hileswaku enock a hi n’wana a ri yexe loyi a lahlekeriweke hi vutomi bya yena hi swivangelo leswi a swi ta siveleka, loko ntsena vatswatsi a va kota ku hlayisa na ku va na vutihlamuleri.
","okubuhlungu kukuba uenock akukuphela komntwana ophulukene nobomi bakhe ngenxa yezinto ebezinokuthi ntelwa, ukuba nje abantu abada la bebeziqhelanise nokukhatha la nokuthatha uxanduva.
",0.93825364
"hi nga tlhela hi ehleketa hi keamohetswe shaun seboko wa 13 wa malembe, loyi a nga nwela exidziveni xa xikolo xa phura yimari xa magaliesburg, na vana lavaya vambirhi lava nga lova exikolweni xa phurayimari xa lekgolo elimpopo endzhaku ka loko lori yi tlumbanile na khumbi kutani ri va wela.
","le nto inditsho ndacinga ngomnye umntwana naye oneminyaka eli13, ukeamohetswe shaun seboko, osandula ukutshona kwidama lokuquba kwisikolo samabanga aphantsi emaga liesburg, nabanye abantwana ababini abasweleke kwisikolo ilekgolo primary elimpopo xa iloli ithe yatshayisa udonga lwabawela.
",0.93516994
"hi nga tlhela hi ehleketa hi ta vana vo tala, ku fana na n’wana wa malembe ya tsevu nathlia pienaar, loyi a dlaweke handle ka nandzu etinyimpini ta mitlawa etifuleteni ta kapa.
","le ntlungu inditsho ndacinga ngabanye abantwana abaninzi, abafana nonathlia pienaar oneminyaka emi6 ubudala, owabulawa kwimfazwe yemigulukudu eyayidubulana kummandla wecape flats.
",0.9407418
"hi tlhela hi tsundzuka mafu ya mahlomulambilu ya michael komape na lumka mkethwa, lava havambirhi va loveke endzhaku ka ku wela eswiha mbukelweni swa magoji.
","sikhumbula kwakhona uku sweleka kabuhlungu kukami chael komape kunye nolumka mkethwa, bobabini basweleka emva kokuba betshone kwi mingxuma yezindlu zangasese ezingagungxulwayo.
",0.9294065
"vutomi lebyi hinkwabyo ka byona bya vana lavatsongo, na vutomi bya van’wana lavo tala, a byi fanele byi nga lahlekangi.
","bonke abo bantwana, kunye nabanye abaninzi, bekungafunekanga ukuba baphulukene nobomi babo.
",0.8943467
"makhombo lawa hinkwawo ka wona a ya fanele ya siveriwile loko a ku tekiwile tindlela to ma sivela hi ku endla leswaku vana lava va kumeka etindhawini leti hlayisekeke.
","zonke ezi ntlekele bezinako ukuthintelwa ukuba bekuthatyathwe amanyathelo okubagcina aba bantwana bekhuselekile.
",0.9079703
"hi ku vona ka mina, tanihi rixaka, hi le ku tsandzekeni ku hlayisa vana va hina.
","apha kum kuyacaca ukuba, njengesizwe, siyasilela ekudlaleni indima yethu kuba ntwana bethu.
",0.8408531
"vana vo tala kutlula mpimo va tikuma va ri eka swiyimo swa khombo, ku nga va swikwekwetsu swa xinkadyana ena mbyeni, kumbe va tshikiwa va ri voxe emikhukhwini na rivoni ra pharafini.
","uninzi lwabantwana lu zifumana lukwiimeko ezi nobungozi.
",0.7526753
"loko van’watikontiraka va tshika michini yo cela misava yi nga sirheleriwa nga kumbe swimakiwakulu swa xikolo swi nga sirheleriwangi kumbe swifambo swa xikolo swi rhwala vana vo tala kutlula mpimo, sweswo swi tisa nxungeto evuton'wini bya vona.
","ezinye zezo meko zifana nokubulawa nguzenzele wephenyane emlanjeni okanye basutywe kukufa kuba beshiyeke bodwa kwityotyombe elinesibane separafini.
",0.8011253
"kambe ku na swo tala swo tlula futa leri ndzi vulavulaka harona.
","xa iinkampani ezakhayo zishiya imisele eziyigrumbileyo ingagqunywanga okanye izakhiwo zesikolo zinga gcinwanga kakuhle okanye izithuthi zabantwana zigcwele kakhulu, ubomi babantwana bubekwa ebungozini.
",0.647565
"vana vo tala va landzeleriwa hi swifamona leswi lavaka ku va hlasela hi timhaka ta swa masangu, mitlawa ya vugevenga na vaxavisi va swidzidziharisi hikuva vana lava va hlaseleka hi ku olova.
","kodwa ayikokungakha thali nokungahoyi kuphela okubangela le ngxaki.
",0.7049141
"tanihi rixaka, hi fanele ku tshama hi pfule mahlo ni ku xalamuka ku hlayisa vana va hina emakhombyeni lawa.
","uninzi lwabantwana lusemngciphe kweni wabantu ababaxhaphaza ngezesondo, amaqela emigulukudu kunye nabathengisi beziyobisi kanye kuba besaziwa ukuba ngabantwana abanokwenziwa izisulu lula.
",0.7111997
"tanihi rixaka, hi fanele ku vumba ntolovelo wa vutihlamuleri.
","njengesizwe, kufuneka sihlale sibaze amehlo kwaye siwumele ngeenyawo umba wokukhusela abantwana bethu kwiingozi ezifana nezi.
",0.74820817
"hi fanele ku va ni vutihlamuleri bya hina vini, bya vana va hina na van’wana.
","njengesizwe, kufuneka sizifundise ukuthatha uxanduva.
",0.66758025
"ku fana na ku tiyisisa leswaku vana va kula etindhawini leti hlayisekeke, leti akaka na ku nyanyula.
","kufuneka sizikhathalele thina, abantwana bethu kunye nabanye abantu.
",0.68328875
"swi tano, hi fanele ku titwa hi ri na ntirho wo hlayisa vanhu hinkwavo lava hi va tivaka na ku tshama na vona.
","njengoko kufuneka siqinisekise ukuba abantwana bethu bakhulela kwindawo ekhuselekileyo, efudumeleyo nehlaziyayo, ngokunjalo ke kufuneka sizive sinoxanduba lokukhusela nokukhathalela bonke abo sibaziyo nesinxibelelana nabo.
",0.84041935
"hi fanele ku titwa hi ri na ntirho lowu emagondzweni.
","kufuneka siwuve lo msebenzi wokukhathalela endle leni.
",0.8130654
"loko hi ri karhi hi amukela ku ya ehansi ka mafu emagondzweni hi nkarhi wa makhisimusi, ntiyiso wo vava hileswaku kutlula vanhu va 1, 600 va lovile emagondzweni ya ka hina en’hwetini yin’we na hafu.
","nangona zichulumancisa iindaba zokwehla kwenani labantu abasweleke kwiingozi zendlela kwezi holide zehlobo, intlungu embi yeyokuba bangaphezu kwe1,600 abantu abasweleke ezindleleni kwisithuba nje esiyinyanga enesiqingatha.
",0.90914017
"swi hlambisa timbilu ku tiva leswaku kutlula 9, 000 wa vachayeri va mimovha va khomiwile hikwalaho ka milandzu leyi katsaka ku chayela va pyopyiwile, ku chayela hi rivilo na ku chayela hi vuso fa.
","iyadanisa into yokuba abaqhubi zimoto abangama9,000 babanjelwe amatyala aquka ukuqhuba phantsi kweempembelelo zotywala, ukuqhuba ngesa ntya esiphezulu, nokuqhuba kakubi nangokungakhathali.
",0.91826093
"ntolovelo wa vutihlamuleri swi vula leswaku hinkwerhu hi fanele ku chayela hindlela leyi hlayisekeke na ku hlonipha timfanelo ta van’wamilenge na van’wana va tirhisa va magondzo.
","ukuthatha uxanduva kuthetha ukuba kufuneka sonke siqhube ngenkathalo futhi sihloniphe amalungelo abahambi ngee nyawo nabanye abasebenzisi bendlela.
",0.9433341
"ntolovelo wa vutihlamuleri swi vula leswaku vatatana va fanele ku va kona evuton’wini bya vana va vona.
","ukuthatha uxanduva kuthetha ukuba ootata kufuneka babekhona ebomini baba ntwana babo.
",0.9542687
"vamanana vo tala va kumeka va kurisa vana va vona va ri voxe, leswi swi hungutaka vuswikoti bya vona na vana va vona byo humelela.
","maninzi amanina ekufuneka ezikhulisele aba ntwana babo bodwa, into leyo inciphisa amathuba abo kunye nawabantwana babo okuphumelela ebomini.
",0.9576516
"ntolovelo wa vutihlamuleri swi tlhela vula leswaku hi fanele ku tisirhelela loko hi endla timhaka ta swa masangu hi papalata ku tihoxa na ku hoxa van’wana ekhombyeni ra hiv .
","ukuthatha uxanduva kuthetha nokuba kufuneka sizikhusele kwezesondo futhi singabezibeki thina okanye abanye esiche ngeni sokosulelwa yihiv .
",0.9461395
"a hi fanelanga ku tirhisa xihoko hi tindlela to biha na ku tirhisa swidzidziharisi.
","kufu neka singaseli utywala kakhulu okanye sisebenzise iziyobisi.
",0.91389173
"hi fanele ku navela ku hanya vutomi bya rihanyo lerinene leswaku hi papalata mavabyi lama yo tala lawa ya sivelekaka leswaku hi va na vutomi byo leha.
","kufuneka sifune ukuphila ubomi obusempilweni ukwenzela ukuba siziphephe izifo ezinoku thintelwa kwaye siphile ubomi obude.
",0.95654947
"ntolovelo wo tano wu fanele ku amukeriwa ngopfungopfu hi vanhu lava erixakeni va nga na swiyimo swa matimba na nkucetelo, ku nga varhangeri va vukhongeri kumbe van’watipolitiki, varhangeri va xintu kumbe vanhu va ndhuma.
","le ndlela yokuziphatha kufuneka ilandelwe ngokukodwa ngabo bonke abantu abaphe theyo kwizikhundla zegunya nabahlonitshwayo luluntu, nokuba zinkokeli zezenkolo okanye oosopolitiki, iinkokeli zemveli okanye oosaziwayo.
",0.92619747
"hi marito kumbe swiendlo swa vona, va fanele ku aka tiko laha vanhu hinkwavo va tekeriwaka enhlokweni na ku hlayiseka.
","ngokusebenzisa nje amazwi nezenzo zabo, kufuneka bancedise kumalinge okwakha isizwe esingcono apho wonke umntu exatyisiwe kwaye ekhathalelwe.
",0.91266936
"swirho swa mfumo leswi hlawuriweke na vatirhelamfumo va byarhisiwile vutihla muleri byo tiyisisa vusirheleri na rihanyo ra vaaki.
","amagosa onyuliweyo kunye nabasebenzi bakarhulumente baphathiswe uxandauva lokuqinisekia ukhuseleko nentlalontle yabemi.
",0.96954453
