nbl,afr
"ukwakha kabutjha nokuvuselela imisebenzi ekuphilwa ngayo ngemva kweenkhukhula vukuzenzele unnamed pheze seziinyanga ezimbili solo iinkhukhula ezinamandla zagiriza zabanga umonakalo omkhulu kezinye iindawo zakwazulunatala, epumalanga kapa netlhagwini tjingalanga, lapho zabulala khona abantu, zagiriza imizi, imakhiwo nemithangalasisekelo.
","die heropbou van lewens en lewensbestaan na die vloede vukuzenzele unnamed dit is byna twee maande sedert die swaar vloede chaos in dele van kwazulunatal, die ooskaap en noordkaap en grootskaalse lewensverlies en skade aan eiendom en infrastruktuur veroorsaak het.
"
"khengavakatjhela ethekwini ekwazulunatala mhlapha ngayokubonana nabosomabhizinisi kilelidrobha kobanyana ngizobasekela emizameni yabo yokuvuselela imisebenzabo.
","ek het onlangs besoek afgelê by ethekwini in kwazulunatal om sakelui in die stad te ontmoet om ondersteuning te bied aan hulle pogings om weer op die been te kom.
"
"lokhuya nakwenzeka lehlekelele yemvelo, kwaba nevalo lokuthi iimphathimandla azizukuba namandla, azizukuba naso nesifiso sokusiza kuhle ngendlela elisizo elibonakalako ebujameni bamatlhuwo balabo abalahlekelwe ngikho koke.
","toe dié natuurramp hulle getref het, was daar besorgdheid dat die owerhede nie die kapasiteit of die wil het om doeltreffend en gepas te reageer op die verskriklike situasie waarin die mense wat alles verloor het, hulle bevind nie.
"
"ngemva kobana sengikhe ngavakatjhela idrobheli kwesibili solo kwasahlela iinkhukhula, nginesiqiniseko sokuthi lelavalo ebelikhona lehlile.
","na my tweede besoek aan die stad sedert die oorstro mings plaasgevind het, is ek oortuig dat die besorgdheid misplaas was.
"
"kwazulunatala, njengepumalanga kapa, netlhagwini tjingalanga, boke ababelani bebasebenza ngamandla ukuthi bavuke kilamahlungu abasele kiwo.
","in kwazulunatal, so ook in die ooskaap en noordwes, is alle belanghebbendes hard aan die werk om van dié tragiese gebeure te herstel.
"
"iziko lokulawula ihlekelele elizweniloke belithungelela zoke iingaba zikarhulumende emizameni yokusiza amakhaya amanengi asahlelwe ziinkhukhula ngesizo lobuntu.
","die nasionale rampbestuursentrum het sedertdien alle aspekte van die rege ring gekoördineer in hulle poging om humanitêre hulp te verleen aan die talle huishoudings wat geraak is.
"
"kube yinto ethabisako ukubona iinhlangano ezingasizombuso, abosomabhizinisi neenhlangano zesizo zihlanganyela ukusebenzisana norhulumende kulethwe isizo ebelifuneka khulu lokulamulela abantu ebebasesihlengeleni.
","dit was n plesier om te sien hoe die nieregerings organisasiegemeenskap, sakegemeenskap en noodlenigingsorganisasies by die regering aansluit om die broodnodige bystand te verleen.
"
"boke ababelani banikele ngokugoma, ngezambatho, ngeengubo, izinto zokuhlanzekisa umzimba kunye nangejinifomu yesikolo emindenini ebeyisesihlengeleni kobanyana izokuphumelelisa iindingo zayo zangemihla.
","al dié belanghebbendes het voedsel, klere, kom berse, waardigheidspakkies en skooluniforms aan kwesbare gesinne verskaf om in hulle basiese behoeftes te voorsien.
"
"njenganje bazii7 000 abantu abasizwa ngokutholelwa iindawo zokuhlala eenyingini ezine ezingezigirikelwe khulu kwazulunatala.
","skuiling word tans voorsien aan meer as 7 000 mense in die vier distrikte in kwazulunatal wat die meeste geraak word.
"
"sewuthomile nomsebenzi wokwakha iindawo zokuhlalisa imindeni ethintekileko kwesikhatjhana endaweni yombuso.
","bouwerk aan tydelike wonings vir die geaffekteerde gesinne het begin en staatsgrond en grond is in kwazulunatal geïdentifiseer vir moontlike hervestiging.
"
