"asonge igezi khona ingazokuqinteliswa silusapho nyanda kunezinto ezimbalwa ezingenziwa masewula afrika ukonga igezi nokukhandela ukucinywacinywa kwayo.
","ha ho kgantshwe ho be ho tingwe silusapho nyanda ho na le dintho tse ngatanyana tseo maaforika borwa a ka di etsang ho boloka motlakase le ho qoba ho timatima ha phepelo ya motlakase.
"
"umjaphethe wom phathi wesitetjhi sakwaeskom imatimba power station uobakeng mabotja wathi ukutlhayela kwamandla aneleko ngesewula afrika kunomthelela emaphilweni wabantu ngombana imisebenzi yangemihla ayenzeki nakucinywacinywa igezi.
","mookamedi ya tshwereng mole po wa seteishene sa matimba sa eskom oba keng mabotja o itse kgaello ya matla a lekaneng a motlakase aforika borwa e thefula maphelo a batho hobane diketsahalo tse tlwaele hileng tse jwalo ka ho pheha le ho qhoba dikgwebo ha di ka ke tsa etsahala nakong ya ho timatima ha phepelo ya motlakase.
"
"imatimba power station iselephalale, elimpopo.
","seteishene sa motlakase sa matimba se mane lephalale, limpopo.
"
"umabotja wahlathulula bonyana ukucinywacinywa kwegezi kwenzeka lokha ieskom nayibhalelwa kuphehla igezi eyaneleko ukuhlangabezana neendingo zelizwe.
","mabotja o hlalositse ka hore ho timatima ha phepelo ya motlakase ho etsahala ha eskom e sa kgone ho hlahisa motlakase o lekaneng ho fihlella ditlhoko tsa naha tsa motlakase.
"
"ngalokhoke kuqakathekile bonyana woke amasewula afrika afake isandla emizameni yokonga igezi.
","kahoo ho bohlokwa, o itsalo, hore maaforika borwa ohle a etse tsohle tse matleng a bona ho sebedisa motlakase hanyane.
"
"iinluleko zeeskom ngokonga igezi: cima ilampa nakunganamuntu ngekamureni sebenzisa amadlhobhu weled cima iinsetjenziswa nazingasebenziko sebenzisa amanzi aqandako kwaphela, ngaphandle kwalokho nakunesidingo, sebenzisa ingubo yegizara ebamba umtjhiso.
","dikeletso tsa eskom tsa ho sebedisa motlakase hanyane: tima mabone ha o tswa ka phaposing sebedisa ditleloupo tse bolokang motlakase (led) tima disebediswa tsa motlakase ha di sa sebediswe sebedisa metsi a batang feela, ntle le haeba ho hlokeha sebedisa kobo e bolokang mofuthu ho kwaela kisara ya hao.
"
"kunabonobangela abangakhandela ukuphehlwa kwegezi, kufaka hlangana ukulungisa, ukucinywa kwegezi okungakahlelwa, nobujamo bezulu.
","dintho tse ngatanyana di ka sitisa tlhahiso ya motlakase, ho akga ditokiso tsa meralo ya motheo, ho kginwa ho sa rerwang esita le boemo ba lehodimo.
"
"umabotja wathi isitetjhi esingaphasi kwelawulo lakhe, ngokukhethekileko, sitshwenywa mazinga womtjhiso aphakemeko.
","mabotja o itse seteishene sa hae, haholoholo, se angwa ke motjheso o hodimo.
"
"""ngamalanga adlangelwe mtjhiso, isitetjhi sibhalelwa kuphehla igezi ngokupheleleko,"".
","""matsatsing a tjhesang ka ho fetisisa, seteishene ha se kgone ho hlahisa matla a motlakase ka bokgoni ba sona bo phethahetseng,"" o itsalo.
"
"imatimba power station isebenzisa amalahle ukuphehla igezi begodu yakhelwe ukuphehla amamegawathi azii3990 mw.
","seteishene sa matla a mo tlakase sa matimba se sebedisa mashala ho hlahisa motlakase, mme se raletswe ho hlahisa matla a 3990 mw.
"
