"ukwakha isitjhaba esitjheja abentwana vukuzenzele unnamed kunesaga esijayele kileko eentjhabeni ezinengi zeafrika esithi umntwana ukhuliswa sitjhaba.
","sakha isizwe esinakekela izingane vukuzenzele unnamed kunesaga esijwaye lekile emasikweni abantu abaningi baseafrika esithi ingane yami ingane yakho.
"
"ifundiso le – ethi umphakathi unomsebenzi omkhulu wokukhulisa, ukutjheja zehlalakuhle nokuphepha komntwana ngamunye – kuba liqaloqangi emkhumblulwenami nangicabanga ngesehlo sokuhlongakala okumasikizi kukaenock mpianzi obekaneminyaka eli13 ngesikhathi asekhambeni lesikolo lamhlapha.
","lo mbono othi wonke umphakathi unesibophezelo ekuthuthukeni, ekufu ndiseni kanye nasekuvikele ni ingane ngayinye−kuyavu ka emqondweni wami uma ngicabanga ngobuhlungu kanye nokuphuka komoya ngesehlo sakamuva so kushona kwengane ebeyine minyaka eyi13 vo ogama layo linguenock mpianzi oshonele ekhempini yesikole.
"
"ngetjhudwelimbi, akusin guenock kwaphela umntwa na olahlekelwe yipilwakhe ngabonobangela egade bangakhandelwa, kwaphela nagade abantu abakhulu bathatha igadango elifaneleko lokubatjheja begodu baba nokuziphendulela.
","ngeshwa, uenock akusiyena yedwa ingane edlulile emhlabeni ngenxa yezizathu ebezingagwemeka, uma ngabe abantu abadala bebesigcinile isibophezelo sokunakekela lezi zingane ngendlela efanele.
"
"ngikhumbula godu omunye oneminyaka eli13 ukeamohetswe shaun seboko okghan ywe mamanzi mhlapha edamini lesikolo samabanga aphasi semagaliesburg nabantwana ababili abahlongakele elekgolo primary school, eselimpopo lokha itrogo itjhayisa iboda elagirikela phezu kwabentwanaba.
","siyayikhumbula nenye yezingane egama layo linguke abomohetswe shaun seboko, naye obeneminyaka eyi13 ubudala, kanti yena uye waminza endaweni yokubhukuda esikoleni samabanga aphansi imagalieburg primary school kube kunezinye izingane ezi mbili eziye zashona emva koku ba iloli liye lashayisa udonga lwawela phezu kwabo.
"
"emkhumbulwenami kufika nabantwana abanengi, abanjengonathlia pienaar – oneminyaka esi6ababulawa nakudumuzana amagenge ecape flats.
","singacabanga nenqwaba yezingane, ezi njengonathlia pienaar obene minyaka engu6 ubudala, kanti yena uye washona emuva kokuhlangabezana nemvula yezi nhlamvu ebeziqhamuka macala onke empini yezigebengu ecape flats.
"
"sikhumbula godu ukuhlongakala okumasikizi kwakamichael komape nolumka mkethwa ababulawa kuwela ngeendlwaneni zoku zithuma zomgodi.
","siyakukhumbula noku shona ngesihluku kukamichael komape kanye nolumka mkethwa, kanti laba bashona bobabili emva kokushona emgodini wendlu yangasese .
"
"besingakafaneli ukula hlekelwa maphilo wabantu abasesebancani kangaka, namaphilo wabanye abanengi abangakabalwa.
","lokhu kushona kwabantu abasha kanye nabanye abaningi bekungagwemeka.
"
"zoke iingozezi gade zingakhandelwa nange bekuthethwe amagadango afane leko wokuvikela abantwanaba.
","bonke lobu buhlungu kanye nosizi bebungagwemeka kungenzeki uma bekuthathwe izinyathelo ekuphephiseni izimpilo zalezi zingane neziko lomlilo.
"
"kubonakala ingasuthi thina simphakathi siliselela abentabethu.
","nokhoke kimi kubukeka sengathi, umphakathi kanye nathi uqobo siyekelele izingane kunoma yini.
"
"abentwana abanengi bazifumana basengozini, engaba sike jana sokuzenzela esikhanjiswa ngemlanjeni nofana batjhiywe babodwa ngemkhukhwini onekesi yepharafeni.
","ziningi kakhulu izingane ezizithola zisezimweni eziyingozi, nokungaba isikebhe sokuzakhela noma zilaxazwe zodwa emikhukhwini okubaswa ngopharafini kuyo.
"
