nso,afr
"matlafatso ya batho ba batsho moruong ke setlamo kgodisong ya moruo vukuzenzele unnamed kgweding ya mmesa selemong sena, kgwebisano eo e leng mohato wa bohlokwahlokwa wa matlafatso e metheo e batsi ya batho ba batsho moruong e phethahaditswe kapa botjhabela.
","swart ekonomiese bemagtiging n vereiste vir ontwikkeling vukuzenzele unnamed n mylpaaltransaksie vir swart ekonomiese bemagtiging is in april vanjaar in die ooskaap beklink.
"
"mohato ona o tla ntlafatsa haholo seabo sa dikgwebo tsa basadi ba batsho lekaleng la eneji.
","die transaksie sal die deelname van ondernemings wat deur swart vrouens besit word in die energiesektor beduidend verbeter.
"
"theminale ya mafura a mangata e sebediswang ke bp southern africa motseng wa east london e rekiseditswe wasaa, eo e leng khampani e ikemetseng ya dihlahiswa tsa dikhemikhale tsa peterole.
","n grootmaatterminaal vir vloeistofbrandstof wat in ooslonden deur bp southern africa bedryf is, is aan die onafhanklike petrochemikalieëmaatskappy wasaa verkoop.
"
"wasaa e rekile diasete tsohle tse tsamayang le 20% ya dishere metjheng e kopanyang kou le boemakepe.
","wasaa het die terminaal se roerende bates en n 20% aandeel in ankerpleknaterminaalpyplyne gekoop.
"
"ho latela tlaleho ya selemo sa 2020 ya khomishene ya matlafatso e metheo e batsi ya batho ba batsho moruong, e bontshitseng hore bongata ba makala a moruo bo hlolehile ho fihlella dipakana tsa ona tsa borakgwebo ba basadi ba batho ba batsho, thekisetsano ena e unnweng ke khampani, eo beng ba yona e leng basadi ba batho ba batsho, ya kou ya mafura ke ya pele paleng ya naha ya rona.
","dié aanskaffing van n vloeistofbrandstofterminaal deur n maatskappy wat deur n swart vrou besit word, is n geskiedkundige ontwikkeling, met die kommissie oor breedgebaseerde swart ekonomiese bemagtiging (bgseb) se 2020verslag wat toon dat die meeste ekonomiese sektore tekortskiet in terme van hul teikens vir eienaarskap deur swart vrouens.
"
"e thusana le matsapa a rona a naha a ho etsolla ho hloka tekatekano le ho netefatsa hore ho be le seabo se bonahalang sa batho bao e leng bona ba bangata naheng ya rona moruong wa rona.
","dit dra by tot ons nasionale poging om ongelykheid reg te stel en te verseker dat daar sinvolle deelname deur die land se meerderheid in ons ekonomie is.
"
"haufinyane, ke ile ka phatlalatsa kgiro ya lekgotla la boeletsi la matlafatso e metheo e batsi ya batho ba batsho moruong, e thehilweng ka ditho tse tswang lekaleng la mmuso, lekaleng la kgwebo, lekaleng la basebetsi le ho bankakarolo ba bang.
","ek het onlangs die aanstelling van die nuwe adviesraad vir bgseb – bestaande uit die regering, sakelui, die arbeidsmag en ander belanghebbendes – aangekondig.
"
"e thehetswe ho tshehetsa ka matla morero wa phetolo ya moruo.
","die adviesraad is gestig om die saak van ekonomiese transformasie voor te staan.
"
"sesosa sa ho thewa ha lekgotla lena e bile tlaleho ya selemo sa 2001 e ntshitsweng ke khomishene ya bee.
","die raad spruit uit n 2001verslag wat deur die bgsebkommissie saamge stel is.
"
"tlaleho ena e tswetswe ke diphuputso tse matla tse fupuditseng sebopeho sa moruo wa afrika borwa, le hore na ho ne ho hlokeha eng bakeng sa ho fetola moruo ona, ho hodisa boitsebelo ba kgwebo ho batho ba batsho, ho netefatsa hore ho eketsehe batsamaisi le borakgwebo ba batho ba batsho, le ho tlisa basadi ba batho ba batsho kgubung ya moruo.
","dié verslag is na aanleiding van n omvangryke studie oor die struktuur van die suidafrikaanse ekonomie en wat nodig is om die ekonomie te transformeer, swart entrepreneurskap te ontwikkel, meer swart bestuur en eienaarskap van ondernemings te verseker, en swart vrouens terug te bring na die hoofstroomekonomie toe.
"
"selemong se tlang, ho tla be ho fela dilemo tse mashome a mabedi tsa ho pasiswa ha molao wa matlafatso e metheo e batsi ya batho ba batsho moruong (bbbee) – o ileng wa theha lekgotla lena.
","dit sal volgende jaar twee dekades wees sedert die wet op breedgebaseerde swart ekonomiese bemag tiging, wat die raad gevestig het, goedgekeur is.
"
"boitlamo ba rona ba ho tsetselela le ho tebisa matlafatso ya moruo ha bo thekesele.
","ons is koersvas in ons toewyding om ekonomiese bemagtiging te verskans en te verdiep.
"
"ke ka hona matlafatso ya batho ba batsho moruong e leng karolo ya bohlokwa ya kahobotjha le tsosoloso ya moruo nakong ena eo re thefutsweng ke sewa sa covid19.
","dit is waarom swart ekonomiese bemagtiging n integrale deel van ons ekonomiese heropbou en herstel in die nasleep van die kovid19pandemie is.
"
"ena ke e nngwe ya dinetefaletso tseo ke di etseditseng lekgotla la kgwebo la batho ba batsho pejana kgweding ena, moo re neng re buisana ka boemo ba bbbee ka hara naha, tswelopele e seng e entswe le seo re tshwanelang ho se etsa mmoho ho aha hodima dikatleho tsa rona.
","dit is een van die gerusstellings wat vroeër dié maand duidelik teenoor die swart sakeraad uitgespreek is toe ons die stand van bgseb in die land, die vordering wat gemaak is en wat ons as sakegemeen skap moet doen om op ons vordering voort te bou, bespreek het.
"
"le ha ho ile ha ba le tswelopele e kgolo nakong ya dilemo tsena tse mashome a mabedi, empa ho ntse ho na le dibaka tse ding tseo ho bonahetseng ho ritsa ho tsona.
","oor die afgelope twee dekades is daar beduidende vordering gemaak, alhoewel daar agteruitgang in sommige gebiede was.
"
"dibaka tseo re kgutletseng morao ho tsona di kenyeletsa ho eketswa ha taolo ya botsamaisi ho batho ba batsho, ho ntlafatswa ha ntshetsopele ya bokgoni, ho tsetselela ntlafatso ya dikgwebo le katoloso ya tshebetso ya theko ho fumantsha basadi ba batho ba batsho le batjha menyetla.
","ons het agteruitgegaan betreffende die vermeerdering van swart bestuursbeheer, die opskaling van vaardigheidsontwikkeling, die verskansing van ondernemingsontwikkeling en die verbreding van voorraadverkryging om aan swart vrouens en die jeug meer geleenthede te bied.
"
"mmuso wa kgethollo o ne o ho etse ka boomo ho bopa moruo o sothehileng, e le hore o tswele ba basweu molemo.
","die apartheidsregering het opsetlik n verwronge ekonomie gebou wat ontwerp is om blankes te bevoordeel.
"
"boholo ba maafrika borwa bo ile ba qhelelwa ka thoko ho kgubu ya moruo, e le moo borakgwebo ba batsho ba neng ba qobelletswe dikgutlwaneng tse nyenyane tsa diindasteri tsa thekiso malokeisheneng.
","die meerderheid suid afrikaners is gemarginaliseer in die hoofstroomekonomie, met swart entrepreneurs wat beperk is tot kleinhandelsakeondernemings in die townships.
"
"nakong ya ho fela ha kgethollo, dikhampani tsa batho ba batsho tse ngodisitsweng ho jse di ne di le ka tlase ho 1%.
","swart eienaarskap van jsegelyste maatskappye was aan die einde van apartheid minder as 1%.
"
"lenane lena ha le a eketseha hakaalo dilemong tsena tse 28 tse fetileng.
","dié syfer het nie veel in die laaste 28 jaar verbeter nie.
"
"le ha ho le jwalo, ho nnile ha eba le boikitlaetso ba bohlokwa ba lekala la poraefete, esita le mehato e bonahalang ya mmuso ya ho thusa hore ho be le seabo se seholwanyane le se bonahalang sa batho ba batsho moruong.
","daar was ook, terselfdertyd, belangrike privaatsektorinisiatiewe en doelbewuste maatreëls deur die staat om groter en sinvoller deelname van swartmense in die ekonomie te fasiliteer.
"
"pakeng tsa selemo sa 2017 le sa 2020, dikgwebisano tse batlang di le 500 di ile tsa romelwa khomisheneng ya bbbee bakeng sa ho ngodiswa.
","nagenoeg 500 bemag tigingstransaksies is tussen 2017 en 2020 by die bgsebkommissie ingehandig vir registrasie.
"
"makaleng a sehlooho a kang a kaho, thepa, theknoloji ya tlhahisoleseding le dikgokahano, bohahlaodi le dipalangwang, leruo la batho ba batsho le ile la ba ka hodimo ho dipakana tse behilweng.
","swart eienaarskap het teikens oorskry in sleutelsektore soos die boubedryf, eiendom, inligtingen kommunikasietegnologie, toerisme en vervoer.
"
"phetolo ya moruo le kgolo ya moruo di hokelane.
","ekonomiese transformasie en ekonomiese groei is vervleg.
"
"ha ho e ka bang teng ha e nngwe e le siyo.
","daar kan nie een sonder die ander wees nie.
"
"ka ho kopanya phetolo le tshebetso ya diindasteri, re ntshetsa pele motlolo wa kgolo o kenyeletsang bohle haholo, o abang, ho ena le o bokellang maruo nqa e le nngwe.
","ons bevorder n meer inklusiewe ontwikkelingsmodel, deur transformasie in die industrialisasieproses te integreer, wat welvaart deel eerder as om dit op te hoop.
"
"lefapha la kgwebo, diindasteri le tlhodisano (dtic) le ntshetsa pele morero ona ka mananeo a fapafapaneng.
","die departement van handel, nywerheid en mededinging (dhnm) streef dié doelwit na deur verskeie programme.
"
"ona a kenyeletsa lenaneo la tshehetso bakeng sa dikgwebo tsa malokeisheneng, kwetliso e amanang le thomelontle e fanwang ke koporasi ya ntshetsopele ya diindasteri (idc) dikgwebong tsa batho ba batsho, basadi le batjha, le bajete e eketsehileng ya metheo ya tshebetso ya moruo e fuwang dismme sebakeng se ikgethang sa moruo sa tshwane.
","dit behels n ondersteuningsprogram vir townshipondernemings, uitvoerverwante opleiding deur die nywerheids ontwikkelingskorporasie (nok) aan ondernemings wat deur swartmense, vrouens en die jeug besit word en verhoogde infrastruktuurbegroting aan kmmo’s in tshwane se spesiale ekonomiese sone.
"
"ka meralo e meholo ya makala re ntshetsa pele leano la ditheko tsa lehae le tla tswela dikgwebo tsa batho ba batsho molemo.
","ons stuur lokalisering deur sektorale meesterplanne wat ondernemings wat deur swartmense besit word, bevoordeel.
"
"ho tea mohlala, dikonteraka di nehilwe bahodisi ba bommaditshibana ba 10 ba batho ba batsho moo ho kentsweng matsete a dimilione tse 336 tsa diranta, e le karolo ya moralo o moholo wa thuo ya bommaditshibana.
","byvoorbeeld is 10 swart kontrakteurtelers gevestig, met n belegging van r336 miljoen as deel van die pluimveemeesterplan.
"
"mmuso o boetse o thakgotse marangrang a baromellintle ba batsho a tla hokahanya dihlahiswa tsa dijo, dihlahiswa tsa boinjinere, dikarolo tsa dipalangwang, dihlahiswa tsa botle le dikarolo tse ding tsa moruo.
","die regering het ook n swart uitvoerdersnetwerk geloods wat ondernemings wat deur swartmense besit word in die sektore van voedsel, ingenieursweseprodukte, voertuigkomponente, skoonheidsprodukte en ander sektore van die ekonomie met mekaar verbind.
"
"jwalo ka karolo ya letsholo la rona la ho hlahisa moloko o motjha wa boradiindasteri ba batsho, mmuso o ananetse tshehetso e ntjha ya dibilione tse 2.5 tsa diranta ho thusa boradiindasteri ba batho ba batsho ba ka bang 180. tshehetso ena e tla tla ka sebopeho sa dikadimo tsa ditjhelete ho tswa ho idc le letlole la naha la matlafatso (nef) le diphallelo ho tswa morerong wa meropotso wa dtic.
","die regering het verlede jaar r2.5 miljard in nuwe ondersteuning aan ongeveer 180 swart nyweraars, in die vorm van lenings deur die nok en die nasionale bemagtigingsfonds (nbf), asook toelaes deur die dhnm se aansporingskema goedgekeur, as deel van ons veldtog om n nuwe generasie swart nyweraars te skep.
"
"nakong ya dilemo tse tharo tse tlang, boitlamo ba tjhelete e nngwe hape ya dibilione tse 21 tsa diranta bo se bo entswe ke idc, nef le mekgatlo e meng bakeng sa ho tshehetsa boradiindasteri ba batsho.
","n verdere r12 miljard is oor die volgende drie jaar deur die nok, nbf en ander instansies belowe om swart nyweraars te ondersteun.
"
"tjhelete e nngwe hape ya dibilione tse 25 tsa diranta e reretswe ho tshehetsa dikhampani tsa batho ba batsho, basadi le basebetsi.
","n bykomende r25 miljard is belowe om maatskappye wat deur swartmense, vrouens, jeugdiges en werkers besit word, te ondersteun.
"
"ho hlakile hore mosebetsi o sa ntse o le mongata o hlokang ho etsetswa ho kgahlametsana le diphephetso tseo batho ba batsho ba tjamelaneng le tsona.
","dit is duidelik dat baie meer werk nog gedoen moet word om die vele uitdagings wat swart ondernemings in die gesig staar, aan te spreek.
"
"tsena di kenyeletsa bothata ba ho fumana ditjhelete tsa ho qala le ho atolla dismme, esita le bokgoni ba tsona ba ho fumana mebaraka bakeng sa dihlahiswa tsa tsona.
","dit behels die struikelblok van toegang tot aanvangsen uitbreidingskapitaal en die vermoë van kmmo’s om markte vir hulle produkte te kry.
"
"dikgwebo tsa basadi ba batho ba batsho, ka ho qoolleha, di thulana le mathata a ho hloka bokgoni ba ho iketela dikgwebisano tsa matlafatso tsa tekanyo e kgolo.
","besighede wat deur swart vrouens besit word, sukkel in besonder wanneer grootskaalse bemagtigings transaksies onderneem word.
"
"ho kgaola lebidi la ntshetsopele e tlase ha se feela setlamo sa ho sebeletsa toka; empa ke mohopolo o motle wa kgwebo.
","om die siklus van onderontwikkeling deur swart ekonomiese bemagtiging te verbreek, is nie net n morele opdrag nie; dit maak ook sakesin.
"
