sep,afr
"go agaleswa maphelo le mekgwa ya boiphedišo morago ga mafula vukuzenzele unnamed e šetše e le dikgwedi tša go ka ba tše pedi go tloga mola mafula a magolo a sentšego go kgabaganya dikarolo tša diprofentshe tša kwazulunatal, kapa bohlabela le leboa bodikela, a hlotše tahlegelo ye kgolo ya bophelo le tshenyo ya thoto le mananeokgoparara.
","die heropbou van lewens en lewensbestaan na die vloede vukuzenzele unnamed dit is byna twee maande sedert die swaar vloede chaos in dele van kwazulunatal, die ooskaap en noordkaap en grootskaalse lewensverlies en skade aan eiendom en infrastruktuur veroorsaak het.
"
"malobanyana ke etetše kwazulunatal go kopana le borakgwebo ka toropong ya ethekwini go ba fa thekgo ya rena go tsoša dikgwebo tša bona.
","ek het onlangs besoek afgelê by ethekwini in kwazulunatal om sakelui in die stad te ontmoet om ondersteuning te bied aan hulle pogings om weer op die been te kom.
"
"ge masetlapelo a a tlhago a fihla, go be go na le dihlobaelo tša gore makala a pušo a be a sena bokgoni goba go se tšeye magato gabotse le ka tshwanelo go maemo a mabe a bao ba lahlegetšwego ke tšohle.
","toe dié natuurramp hulle getref het, was daar besorgdheid dat die owerhede nie die kapasiteit of die wil het om doeltreffend en gepas te reageer op die verskriklike situasie waarin die mense wat alles verloor het, hulle bevind nie.
"
"go ba ke etetše gabedi toropong ya ethekwini go tloga mola go bago le mafula, ke a kwešiša gore hlobaelo ye ga se e lebišwe lefelong la maleba.
","na my tweede besoek aan die stad sedert die oorstro mings plaasgevind het, is ek oortuig dat die besorgdheid misplaas was.
"
"go la kwazulunatal, go swana le kapa bohlabela le leboa bodikela, bakgathatema ka moka ba be ba šoma ka thata go kokotlela go tšwa ditiragalong tše tša manyami.
","in kwazulunatal, so ook in die ooskaap en noordwes, is alle belanghebbendes hard aan die werk om van dié tragiese gebeure te herstel.
"
"sentha ya bosetšhaba ya taolo ya masetlapelo e be e sepetša mešomo ka moka ya mmušo ka maiteko a wona a go fana ka mošomo wa botho go imolla malapa a mantši ao a amegilego.
","die nasionale rampbestuursentrum het sedertdien alle aspekte van die rege ring gekoördineer in hulle poging om humanitêre hulp te verleen aan die talle huishoudings wat geraak is.
"
"go be go thabiša go bona dihlopha tša mekgatlo ye e sego ya mmušo, mekgatlo ya kgwebo le ya kimollo e šomišana le mmušo go fa thušo ya kimollo ye e nyakwago kudu.
","dit was n plesier om te sien hoe die nieregerings organisasiegemeenskap, sakegemeenskap en noodlenigingsorganisasies by die regering aansluit om die broodnodige bystand te verleen.
"
"bakgathetema ba ka moka ba abetše malapa ao a amegilego gampe dijo, diaparo, mapai, diphuthe lwana tša go fa basadi seriti le diyunifomo tša sekolo gore ba be le dinya kwa tša bona tša motheo.
","al dié belanghebbendes het voedsel, klere, kom berse, waardigheidspakkies en skooluniforms aan kwesbare gesinne verskaf om in hulle basiese behoeftes te voorsien.
"
"ka se sebaka ditirelo tša go fa batho madulo di fiwa batho ba go feta ba 7 000 ka dileteng tše nne tše di amegilego kudu go ka kwazulunatal.
","skuiling word tans voorsien aan meer as 7 000 mense in die vier distrikte in kwazulunatal wat die meeste geraak word.
"
"mošomo wa go agela malapa ao a amilwego madulo a nakwana o thomile mo dikarolong tša naga tša ya go laolwa ke mmušo tšeo di hlaoletšwego go ba tša madulo ka moso go la kwazulunatal.
","bouwerk aan tydelike wonings vir die geaffekteerde gesinne het begin en staatsgrond en grond is in kwazulunatal geïdentifiseer vir moontlike hervestiging.
"
