tsn,eng
"bašwa ba botlhokwa thata mo go rona vukuzenzele unnamed ka seetebosigo 16 1976, bašwa ba kwa soweto le mafelo a mangwe ka fa nageng ba ne ba duba merusu go ipelaetsa kgatlhanong le thuto ya bathobantsho e e neng e sa tshwane le ya merafe e mengwe.
","the youth are our greatest asset vukuzenzele unnamed on june 16th 1976, the youth of soweto and other parts of the country rose up against the iniquity of bantu education.
"
"ka letsatsi leo le mo matsatsing a a tla latelang, batho ba bantsi ba ne ba latlhegelwa ke matshelo a bona.
","on that day and in the days that followed, many lost their lives.
"
"ba ne ba bolawa ke puso e e neng e sena sepe le botshelo jwa mothomotsho e bile go ne go se sepe se ba boneng e le phoso fa ba ne ba budulela dikolo mo mebeleng ya bana ba sekolo ba ba neng ba apere diaparo tsa sekolo e bile ba sa tlhomela.
","they were killed by a callous regime that had little regard for black lives and thought nothing of opening fire on unarmed, uniformed schoolchildren.
"
"ditiro tsa mothale ono di ne tsa gagamatsa maikutlo a dinaga tsa boditšhabatšhaba kgatlhanong le puso ya tlhaolele mme seno se ne sa naya maatla kgaratlhelo ya kgololesego.
","these events hardened international opinion against the apartheid regime and gave further impetus to the liberation struggle.
"
"bašwa ka gale ke bona ba gogang kwa pele ditshupetso mo mererong ya loago, go tloga mo ditshupetsong tsa kwa latin america ka dingwaga tsa bo 1950, go tsenyeletsa le ditshupetso tse di neng di diragala go ralala le aforika kwa bokhutlhong jwa dingwaga tsa bo 1960. hisetori e rekotile ka botswapelo seabe seo bašwa ba 1976 ba nnileng le sona mo megwantong ya boditšhabatšhaba ya baithuti le dikgato tsa bona tsa go ema kgatlhanong le go tshwarwa makgwakgwa.
","young people have always been at the forefront of social protest, from the antiauthoritarian protests in latin america in the late 1950s, to the protests across africa in the late 1960s.
"
"tiragalo eno ya hisetori e e diragetseng mo dingwageng di le 45 tse di fetileng e santse e ketikiwa mo kontinenteng ya aforika le mo lefatsheng ka bophara.
","history faithfully records the contribution of the generation of 1976 to the international student movement and its stance against oppression and injustice.
"
"ka jalo go a gagamatsa gore kitso ka ga ditiragalo tsa june 16 e a nyelela mo bašweng ba naga ya aforika borwa.
","this historic event 45 years ago continues to be commemorated across africa and the world.
"
"seno se diragala bogolosegolo mo bašweng ba ba ipitsang gore ke generation z, bano ke bašwa ba ba belegweng magareng ga dingwaga tsa 1997 le 2015. dipatlisiso tsa aforika borwa tsa kitso le maitsholo mo mererong ya loago tsa ngwaga wa matlole wa 2019/2020 tse di phasaladitsweng ke lekgotla la dipatlisiso tsa saense le batho (hsrc) di ribolotse gore mo bašweng bano, 40% ya bona ga e itse sepe ka ditiragalo tseno e bile ga ba ise ba utlwele sepe fela ka ga tsona.
","it is therefore disturbing that knowledge of june 16th is diminishing among young south africans.
"
"ba bangwe gape ba phesente e e tshwanang le yona eo ba utlwetse ka tsona mme ba na le kitso e e potlana thata ka ga tsona.
","this is particularly so among the socalled generation z, or young people born between 1997 and 2015. the 2019/2020 south african social attitudes survey published by the human sciences research council found that close to 40% of generation z has not heard of the historical events of june 16th.
"
"le fa go le jalo, dipatlisiso tseno gape di ribolotse gore bašwa bano ga ba kgatlhanong le go ithuta ka kitso e e botlhokwa ya hisetori e bile ba dumela gore e botlhokwa e bile e tla tswelela go nna botlhokwa.
","a similar percentage has heard about it but knows very little or nothing about it.
"
