tsn,nbl
"bašwa ba botlhokwa thata mo go rona vukuzenzele unnamed ka seetebosigo 16 1976, bašwa ba kwa soweto le mafelo a mangwe ka fa nageng ba ne ba duba merusu go ipelaetsa kgatlhanong le thuto ya bathobantsho e e neng e sa tshwane le ya merafe e mengwe.
","ilutjha ligugu lethu elikhulu kunawo woke vukuzenzele unnamed ngomhla we16 ku mgwengweni 1976, ilutjha lesoweto begodu nakezinye iindawo zelizwe lekhethu lasikimela phezulu la lwisana nobumbi behlelo yefundo ebeyikhethiselwe isitjhaba esinzima elalibizwa ngebantu education.
"
"ka letsatsi leo le mo matsatsing a a tla latelang, batho ba bantsi ba ne ba latlhegelwa ke matshelo a bona.
","ngelangelo nemalangeni alandelako, abantu abanengi baloba amaphilwabo, bafa ubujadajada.
"
"ba ne ba bolawa ke puso e e neng e sena sepe le botshelo jwa mothomotsho e bile go ne go se sepe se ba boneng e le phoso fa ba ne ba budulela dikolo mo mebeleng ya bana ba sekolo ba ba neng ba apere diaparo tsa sekolo e bile ba sa tlhomela.
","babulawa mbuso obewunesihlungu obewuqalela phasi amaphilo wabantu abanzima begodu ebewubona kulula ukudumuza abentwana besikolo bembethe izembatho zesikolo bangakaphathi iinkhali.
"
"ditiro tsa mothale ono di ne tsa gagamatsa maikutlo a dinaga tsa boditšhabatšhaba kgatlhanong le puso ya tlhaolele mme seno se ne sa naya maatla kgaratlhelo ya kgololesego.
","izehlakalwezi ziqinise imi bono yamazwe ngamazwe bona kunesidingo sokuja melana nombuso webandlu lulo (iapartheid).
"
"bašwa ka gale ke bona ba gogang kwa pele ditshupetso mo mererong ya loago, go tloga mo ditshupetsong tsa kwa latin america ka dingwaga tsa bo 1950, go tsenyeletsa le ditshupetso tse di neng di diragala go ralala le aforika kwa bokhutlhong jwa dingwaga tsa bo 1960. hisetori e rekotile ka botswapelo seabe seo bašwa ba 1976 ba nnileng le sona mo megwantong ya boditšhabatšhaba ya baithuti le dikgato tsa bona tsa go ema kgatlhanong le go tshwarwa makgwakgwa.
","abantu abatjha bebasolo badosa phambili emzabalazweni wokunzinzisa ihlalakuhle yabantu, kusukela ngomzabalazo owawu lwisana nelatin america ngeminyaka yabo1950, bewafika eafrika zombelele ngeminyaka yabo1960.
"
"tiragalo eno ya hisetori e e diragetseng mo dingwageng di le 45 tse di fetileng e santse e ketikiwa mo kontinenteng ya aforika le mo lefatsheng ka bophara.
","umlando ngokuthembeka uveza ukuzinikela kwesizukulwana somnyaka we1976 embuthweni wabafundi wephasi zombelele nangokujamelana kwawo negandelelo nokungabi nobulungiswa.
"
"ka jalo go a gagamatsa gore kitso ka ga ditiragalo tsa june 16 e a nyelela mo bašweng ba naga ya aforika borwa.
","isehlakalo lesi seminyakeni edlulileko ema45 siragela phambili ngokukhunjulwa enarhakazini yeafrika begodu nephasini loke zo mbelele.
"
"seno se diragala bogolosegolo mo bašweng ba ba ipitsang gore ke generation z, bano ke bašwa ba ba belegweng magareng ga dingwaga tsa 1997 le 2015. dipatlisiso tsa aforika borwa tsa kitso le maitsholo mo mererong ya loago tsa ngwaga wa matlole wa 2019/2020 tse di phasaladitsweng ke lekgotla la dipatlisiso tsa saense le batho (hsrc) di ribolotse gore mo bašweng bano, 40% ya bona ga e itse sepe ka ditiragalo tseno e bile ga ba ise ba utlwele sepe fela ka ga tsona.
","ngakhoke kuyadanisa ukobana ilwazi ngelanga lomhla we16 kumgwe ngweni lincipha hlangana nelutjha lesewula afrika.
"
"ba bangwe gape ba phesente e e tshwanang le yona eo ba utlwetse ka tsona mme ba na le kitso e e potlana thata ka ga tsona.
","lokhu kudlange khulu hlangana nelutjha elaziwa ngokuthi yigeneration z nofana abantu abatjha ababelethwe kusukela ngomnyaka we1997 ukuya kewee2015.
"
"le fa go le jalo, dipatlisiso tseno gape di ribolotse gore bašwa bano ga ba kgatlhanong le go ithuta ka kitso e e botlhokwa ya hisetori e bile ba dumela gore e botlhokwa e bile e tla tswelela go nna botlhokwa.
","isouth african social attitudes survey yango 2019/2020 egadangiswe mkhandlu wezerhubhululo lezesayensi yabantu (ihsrc) ithole bona pheze ama40% wegeneration z khenge khebezwe ngezehlakalo zomlando kajune 16. abamaphesende afanako khebezwa ngazo kodwana bazi okuncani khulu ukuya ekungazini litho ngazo.
"
"re le naga re tshwanetse go tsaya matsapa go netefatsa gore molaetsa wa ditiragalo tsa 1976 o fetisetswa kwa bathong ba bangwe ka botswapelo.
","nanyana kunjalo, iimfu ndo zithole bona abantu abatjha balesi sizukulwana bazimisele ngokufunda ngezehlakalo zomlando ezi qakathekileko begodu baya kholelwa ekuqakathekeni kwazo ukuya phambili.
"
"ano ke maikarabelo a rona rotlhe re le puso, dikolo, ditheo tsa thuto e kgolwane, batsadi, malapa le masika, baopedi, badiragatsi le botlhe mo setšhabeng.
","kutlhogeka bona senze likhulu sililizwe ukuqinisekisa bona umlayezo ka1976 udluliselwa elutjheni ngokuthembekileko.
"
"bašwa ba ba belegweng morago ga go phutlhama ga puso ya tlhaolele ba iphitlhetse ba le ka fa gare ga puso ya temokerasi e e nang le molaotheo mo ditshwanelo tse di botlhokwa di tsewang tsia.
","lokhu kumsebenzi karhulumende, iinkolo, amaziko wefundo ephakemeko, ababelethi, abavumi ngitjho nomphakathi woke.
"
"ditšhono tse bašwa ba mmala wa sebilo ba gompieno ba nang le tsona di farologane thata le tsa ba mo nakong e efetileng e bile di tokafaditswe thata.
","isizukulwana esibelethwe ngemva kobana iapartheid iphele sizuze ilizwe elinomthethosisekeko we ntanto yenengi begodu lapha amalungelo avikeleke khona.
"
"go tswelela go ruta bašwa ka ditiragalo tseno tsa june 16 ke segopotso mo bašweng ba gompieno gore bašwa ba mo malobeng ba ikentshitse setlhabelo go le kanakang gore bašwa ba gompieno ba utlwe monate wa kgololesego.
","amathuba atholwa lilutjha labantu abanzima namhlanje ahluke khulu kwamambala begodu sekangcono khulu.
"
