tsn,sep
"ditsela tsa go thibela go nna mo mmeleng ga bašwa vukuzenzele unnamed go na le ditsela tse di farologaneng tse o ka thibelang ka tsona go iphi tlhele o le mo mmeleng e se ka maikaelelo, mme tsona di tsenyeletsa le go se robalane go fitlha o tsena mo kgolaganong ya lenyalo kgotsa go fitlha o ipona gore o siametse go ka nna le bana.
","ka fao o ka thibelago go ima ga batšwamahlalading vukuzenzele unnamed go nale mekgwa ya go fapafapana ya go thibela go ima ga batšwamahlalagad ing, mekgwa yeo e akaretša go ikgethela go se tsenele thobalano go fihlela o nyetšwe goba ge o itokišeditše go ba le bana.
"
"go na le batho ba ba akanyang gore go itima phate ke selo seo se neng se diriwa bogologolo, mme ba bangwe bona ba akanya gore selo seo ke sona se se botoka thata.
","batho ba bangwe ba na gana gore go ikilela (go ikgethela go se tsenele thobalano go fihlela ge o nyetšwe) ke dilo tša kgale, mola ba bangwe ba bona e le botho go dira bjalo.
"
"le fa go le jalo, bašwa ke bona ba ba tshwanetseng go itlhophela seo ba bonang se ba siametse mo botshelong.
","go le bjalo, batšwamahlalading ba swanetše go itšeela diphetho.
"
"batho ba bantsi ga ba batle go letela lenyalo pele ba ka simolola tsa thobalano.
","batho ba bantši ga ba nyake go leta go fihlela ge ba nyalwa pele ba ka tsenela thobalano.
"
"e bile gape ga ba batle go sianela dilo tseo ka tsona ba tla iphitlhelang di ba weditse mo mogobeng wa mathata a a seng kana ka sepe.
","ebile ga ba nyake go phakiša go dira dilo le go dira diphošo tše kgolo.
"
"go le gantsi ba tsaya tshwetso ya gore selo se se ba siametseng go gaisa ke go se sianele tsa thobalano go fitlha ba ipona gore jaanong ba godile, ba na le maikarabelo, ba ka fa gare ga kgolagano ya lorato e e lolameng moo ba golaganeng le mokapelo a le mongwe fela e bile ba setse ba iponetse le tiro.
","gantši ba tšea sephetho sa gore go diegiša go tsenela tša thobalano go fihlela ge e le ba bagolo, ba nale maikarabelo, ba le ka gare ga dikamano tša go se tekateke mo ba ratanago le motho wo tee ebile ba šoma ke kgetho ye kaonekaone ye ba ka e letelago.
"
"fa e le gore o tsaya tshwetso ya go itima phate kgotsa ya go tsena mo thobalanong, go na le dilo dingwe tse o ka di dirang gore o ipabalele: tlhopha ka kelotlhoko ba tho ba o tsalanang le bona.
","ge o ikgethela go ikilela goba go diega go tsenela thobalano, go nale dilo tšeo o ka di dirago go itšhireletša: kgetha bagwera ba gago ka šedi ye kgolo.
"
"ditsala tsa mmatota di go ratela tsotlhe tse di molemo e bile di tlhompha tshwetso ya gago ya go itima phate.
","ba gwera ba mmakgonthe ba swanetše go go ratela dilo tše botse ebile ba swanetše go hlompha sephetho sa gago sa go se tsenele thobalano.
"
"ela tlhoko maemo a a ka go bayang mo kotsing, a a jaaka ditsala fa di sela bojalwa kgotsa di dirisa diritibatsi, e leng seo se ka dirang gore o iphitlhele o tsene mo thobalanong e e sa babalesegang.
","hlokomela maemo ao a ka dirago gore o ikwe o sa bolokega, go swana le bagwera ba go nwa goba ba go diriša diokobatši, tšeo di ka dirago gore o feletše o tsenetše thobalano ya go se bolokege.
"
"itlhokomele mo mookapelong yo a go rayang a re fa tota e le gore o a morata o tla mo naya dikobo.
","hlokomela balekani bao ba o botšago gore o swanetše go robala le bona ge o ba rata.
"
"reetsa le go ithuta mo bathong ba ba kileng ba nna mo mmeleng e santse e le bašwa.
","theeletša le go ithuta go bao ba ilego ba ima e le batšwamahlagading gore ba fetile bjang.
"
"ba itse sentle diphoso tsa seo le go tlhaloganya ditlamorago tsa teng.
","ba tseba diphošo tša gona le ditlamo rago tše mpe.
"
"reetsa le go ithuta mo dikgang tseo batsadi ba gago ba go tlotlelang tsone ka maitemogelo a bona mo botshelong.
","theleetša le go ithuta go tšwa batswading ba gago ka maitemogelo a bona a bophelo.
"
"fa e le gore wena o bona e le gore go itima phate le go tsaya nako pele o ka tsenela tsa thobalano ga se seo o se batlang, e bile ga o na nako ya go leta, netefatsa gore o tsaya nakonyana o ithute ka tsa go ipabalela mo thobalanong, go tsenyeletsa le dikgato tsa thibelapelegi, di ka tswa e le tsa go dirisa mesomelwana kgotsa go nwa melemo go thibela go nna mo mmeleng.
","ge o tšea sephetho sa gore go ikilela le go diega go tsenela thobalano ga se diphetho tše kaone tšeo di go loketšego wa ikgethela gore o ka se kgone go ema, tšea nako go ithuta ka fao o ka itšhireletšago ka gona, go akaretšwa le dithibelapelegi, e lego go šomiša mokgwa (wa setlwaedi goba wa dikhemikhale) go thibela go ima.
"
"go na le dithibelapelegi tse di dirang ka ditsela tse di farologaneng, fela tsone tsotlhe di diretswe go thibela go nna mo mmeleng.
","go nale dithibelapelegi tša go šoma ka ditsela tša go fapafapana, eupša ka moka di diretšwe go thibela go ima.
"
"tsona di tsenyeletsa dithibelapelegi tse di nwewang, tse di itsegeng ka gore ke ""dipilisi""; dithibelapelegi tsa go tlhaba ente; mmogo le mesomelwana ya banna le ya basadi.
","tšona di akaretša dithibelapelegi tše ka tšewago go swana le dipilisi; dithibelapelegi tša go hlabelwa; le dikhontomo tša banna le tša basadi.
"
"nka dira eng fa ke iphitlhela e le gore ke mo mmeleng?
","nka dira eng ge ke imile?
"
"fa e le gore o belaela gore o mo mmeleng, kopa mongwe yo o mo tshepang go ya le wena kwa tleliniking e e gaufi le wena go dira diteko tsa go tlhola fa e le gore o mo mmeleng.
","ge o gonona gore o kaba o imile, sepela le motho yo o mo tshephago go ya kiliniking ya kgauswi gore o dirwe diteko tša go ima.
"
"tlhokomelo ya boimana e botlhokwa thata e bile go le gantsi go simololwa ka yano mo bekeng ya borobedi o le mo mmeleng.
","tlhokomelo ya baimana (go hlokomela masea ao a sa lego ka dipopelong tša bommagobona) e bohlokwa ebile ka setlwaedi e thoma ka dibeke tše seswai.
"
"tleliniki ya kwa motseng yo o nnang kwa go ona e ka go thusa ka ditirelo tsa tlhokomelo ya boimana mme motlhankedi wa tlhokomelo ya boitekanelo o tla go thusa go loga leano le le tla tswelang wena le leseanyana la gago le iseng le belegwe mosola.
","kliniki ya kgauswi le wena e ka go thuša ka tlhokomelo ya baimana ebile mošomedi wa tlhokomelo ya maphelo o tla go thuša go hlama thulaganyo yeo e loketšego wena le lesea la gago.
"
"fa o le mo mmeleng go botlhokwa thata gore o je dijo tse di siametseng mmele tse di humileng ka dikotla, o ikatise, o robale boroko jo bo lekaneng mme o tshamekele kgakala le diritibatsi le bojalwa.
","ge o imile, go bohlokwa gore o je dijo tše loketšego mmele tša phepo, o itšhidulle, o robale nako ye lekanego le go efoga diokobatši le madila.
"
"*tshedimosetso eno o e tlisediwa ke ba lefapha la boitekanelo la kwa porofenseng ya kwazulunatal.
","*tshedimošo ye le e tlišetšwa ke kgoro ya maphelo ya kwazulunatal.
"
"go nna mo mmeleng o santse o le mošwa go tla go ama botshelo jwa gago jotlhe, fela go na le ditsela tse di ka dirang gore o se iphitlhele o le mo mmeleng e se ka maikaelelo.","go ima ge o le motšwamahlagading go tla ama bophelo ba gago ka moka, eupša go nale mekgwa yeo o ka e latelago gore o seke wa ima o sa ipeakanyetša."
