tso,nbl
"vantshwa i rifuwo ra hina lerikulukumba vukuzenzele unnamed hi siku ra 16 khotavuxika 1976, vantshwa va le soweto na le ka swiphemu swin’wana swa laha tikweni va yimile hi milenge va lwisa na na vubihi bya dyondzo ya vantima.
","ilutjha ligugu lethu elikhulu kunawo woke vukuzenzele unnamed ngomhla we16 ku mgwengweni 1976, ilutjha lesoweto begodu nakezinye iindawo zelizwe lekhethu lasikimela phezulu la lwisana nobumbi behlelo yefundo ebeyikhethiselwe isitjhaba esinzima elalibizwa ngebantu education.
"
"hi siku rolero na le ka masiku lama nga landzela, vanhu vo tala va lahleke riwe hi vutomi bya vona.
","ngelangelo nemalangeni alandelako, abantu abanengi baloba amaphilwabo, bafa ubujadajada.
"
"va dlayiwile hi mfumo lowo pfumala ntwelavusiwana lowu a wu nga ri na mhaka na vutomi bya vantima na ku nga karhatiwi hi nchumu loko va duvula vana va xikolo lava a va nga hlomangi, lava a va ambale yunifomo.
","babulawa mbuso obewunesihlungu obewuqalela phasi amaphilo wabantu abanzima begodu ebewubona kulula ukudumuza abentwana besikolo bembethe izembatho zesikolo bangakaphathi iinkhali.
"
"swiendleko leswi swi nonohise mavonelo ya matiko ya misava ehenhla ka mfumo wa xihlawuhlawu na ku khutaza ku ya ema hlweni ka nyimpi yo lwela ntshunxeko.
","izehlakalwezi ziqinise imi bono yamazwe ngamazwe bona kunesidingo sokuja melana nombuso webandlu lulo (iapartheid).
"
"vantshwa va tshamile va ri emahlweni ka ku kombisa ku vilela ka vanhu hi mika rhi hinkwayo, kusukela eka ku kombisa ku vilela ko alelana na mafumelo yo lerisa elatin amerika ekuheleni ka malembe ya va1950, kuya eka ku kombisa ku vilela eafrika hinkwayo ekuheleni ka malembe ya va1960.
","abantu abatjha bebasolo badosa phambili emzabalazweni wokunzinzisa ihlalakuhle yabantu, kusukela ngomzabalazo owawu lwisana nelatin america ngeminyaka yabo1950, bewafika eafrika zombelele ngeminyaka yabo1960.
"
"matimu ma rhekhoda hi ndlela yo tshembeka ku hoxa xandla ka rixaka ra 1976 eka nhlangano wa swichudeni wa matiko ya misava na xiyimo xa ka wona ehenhla ka ntshikelelo na nkavululami.
","umlando ngokuthembeka uveza ukuzinikela kwesizukulwana somnyaka we1976 embuthweni wabafundi wephasi zombelele nangokujamelana kwawo negandelelo nokungabi nobulungiswa.
"
"xiendleko lexa nkoka eka matimu 45 wa malembe lama nga hundza xi ya emahlweni na ku tsundzu kiwa eafrika hinkwayo na le misaveni hinkwayo.
","isehlakalo lesi seminyakeni edlulileko ema45 siragela phambili ngokukhunjulwa enarhakazini yeafrika begodu nephasini loke zo mbelele.
"
"hikokwalaho swi twisaka ku vava leswaku vutivi bya siku ra 16 khotavuxika byi le ku nyamalaleni exikarhi ka vantshwa va laha afrikadzonga.
","ngakhoke kuyadanisa ukobana ilwazi ngelanga lomhla we16 kumgwe ngweni lincipha hlangana nelutjha lesewula afrika.
"
"leswi swi tano ngopfungopfu exikarhi ka lava vuriwaka rixaka ra z, kumbe vantshwa lava nga velekiwa exikarhi ka 1997 na 2015. mbalango wa maehleketelelo ya vanhu va afri kadzonga wa 2019/2020 lowu hangalasiweke hi khansele ya ndzavisiso wa tisayense ta ximunhu wu kume leswaku kwalomu ka 40% ta rixaka ra z a ri si tshama ri twa hi swiendleko leswa nkoka eka matimu swa siku ra 16 khotavuxika.
","lokhu kudlange khulu hlangana nelutjha elaziwa ngokuthi yigeneration z nofana abantu abatjha ababelethwe kusukela ngomnyaka we1997 ukuya kewee2015.
"
"nhlayo hi tiphesente leyi fanaka yi twile hi mayelana na swona kambe yi tiva switsongo kumbe ku nga tivi nchumu hi mayelana na swona.
","isouth african social attitudes survey yango 2019/2020 egadangiswe mkhandlu wezerhubhululo lezesayensi yabantu (ihsrc) ithole bona pheze ama40% wegeneration z khenge khebezwe ngezehlakalo zomlando kajune 16. abamaphesende afanako khebezwa ngazo kodwana bazi okuncani khulu ukuya ekungazini litho ngazo.
"
"hambiswiritano, mbala ngo lowu wu tlhele wu kuma leswaku vantshwa va rixaka leri va swi lava ku dyondza hi swiendleko swa matimu ya nkoka naswona va tshe mba eka ku tshama swi ri swa nkoka ku ya ema hlweni.
","nanyana kunjalo, iimfu ndo zithole bona abantu abatjha balesi sizukulwana bazimisele ngokufunda ngezehlakalo zomlando ezi qakathekileko begodu baya kholelwa ekuqakathekeni kwazo ukuya phambili.
"
"hi dinga ku endla swo tala tanihi tiko ku tiyisisa leswaku hungu ra 1976 ri hundziseriwa emahlweni hi ku tshembeka.
","kutlhogeka bona senze likhulu sililizwe ukuqinisekisa bona umlayezo ka1976 udluliselwa elutjheni ngokuthembekileko.
"
"lebyi i vutihlamuleri bya nhlanganelo bya mfumo, swikolo, mihlangano ya dyondzo ya le henhla, vatswari, mindyangu, vayi mbeleri, vatshila, na rixaka hinkwaro.
","lokhu kumsebenzi karhulumende, iinkolo, amaziko wefundo ephakemeko, ababelethi, abavumi ngitjho nomphakathi woke.
"
"rixaka leri nga velekiwa endzhakukaloko mfumo wa xihlawuhlawu wu heri siwile ri kume ndzhaka ya tiko leri nga na vumbiwa ra xidemokirasi naswona laha mitshunxeko ya nkoka yi sirheleriwaka.
","isizukulwana esibelethwe ngemva kobana iapartheid iphele sizuze ilizwe elinomthethosisekeko we ntanto yenengi begodu lapha amalungelo avikeleke khona.
"
"swivandlanene leswi va ntshwa va vantima va nga na swona namuntlha havumbirhi swi hambanile swinene na ku va swi antswile swinene.
","amathuba atholwa lilutjha labantu abanzima namhlanje ahluke khulu kwamambala begodu sekangcono khulu.
"
