ven,ssw
"vhaongi vha zwifuwo vha u tou thoma kha ḽa afrika tshipembe vho ṱhaphudza ngudo dzavho allison cooper u vha muṅwe wa vha ongi vha zwifuwo vha u thoma kha ḽino shango ndi muḽoro wo wedzaho kha mudzulapo wa randburg ane a vha phu melela mthimkhulu (21), ane lufuno lwa zwifuwo khae lwo thoma a tshe muṱuku.
","bahlengikati bekucala betilwane batfola ticu tabo allison cooper kuba ngulomunye webahlengikati bekucala betilwane kutsi batfole ticu kukuphumelela kweliphupho lesakhamuti saserandburg phumelela mthimkhulu (21), lobekanelutsandvo lwetilwane kusukela asesengumntfwana.
"
"mthimkhulu u kha ḓi tou bva u ṱhaphudza ngudo dzawe dza bachelor of veterinary nursing fhaḽa yunivesithi ya pretoria (up), ine ya vha yone i yoṱhe i pfumbudzaho vhaongi vha zwifuwo kha ḽa afrika tshipembe.
","mthimkhulu usandza kutfola ticu takhe eyunivesithi yasepretoria (iup), lekungiso sodvwa sikhungo sekufundzela kuhlenga tilwane eningizimu afrika, utfole ticu tebachelor of vete rinary nursing.
"
"""a zwi athu tou nwelela zwavhuḓi kha nṋe.
","""angikhoni kukuvisisa loku lokwentekile.
"
"u ḓivha zwauri ndo vha tshipiḓa tsha kiḽasi ya u thoma u gudela digirii, ine yo dzhia miṅwaha minzhi u i khunyeledza, ndi zwithu zwa nṱhesa.
","kwati kutsi bengiyincenye yeliklasi lekucala lekwenta tifundvo tedegree, lokutsetse iminyaka kutsi kwenteke, kuyintfo lenhle kakhulu.
"
"""""ndi khou livhuwa zwikhala na mavothi zwine zwa ḓo vulea kha riṋe vhaongi u isa pfunzo dzashu phanḓa khathihi na u pfumbudzwa lwa tshipentshela kha buḓo ḽashu, zwe zwa vha zwi tshi konḓa u zwi ita tshifhinga tsho fhiraho, u ralo.
","""ngiyawabonga lamatfuba naleminyango letasivulekela sibahlengikati ekutsi sikhone kuchubeka netifundvo tetfu bese siba bochwepheshe labakhetsekile kulomkhakha wetfu, lebekuyintfo lenzima kuyenta esikhatsini lesengcile,"" usho njalo.
"
"""vho tamarin fisher, muphuresidennde wa dzangano ḽa vhaongi vha zwifuwo kha ḽa afrika tshipembe, vha ri heḽi ndi ḽiga ḽa vhuṱhogwa kha ḓivhazwakale ya buḓo heḽi lwa miṅwaha ya 42 yo fhiraho tshe ḽa vha hone.
","tamarin fisher, longu mengameli wenhlangano yebahlengikati betilwane eningizimu afrika, utsi loku kuyincophamlandvo kulomsebenti loseneminyaka le42.
"
"""digirii iyi ntswa ya miṅwaha miraru i ḓo ṋetshedza vhaongi vho ṱhaphudzaho pfunzo tshi khala tsha uri vha ḓiṅwalisele u isa pfunzo dzavho phanḓa, zwine ra fulufhela uri zwi ḓo swikisa kha uri vha swikelele digirii dza honours, masters khathihi na phd.
","""ticu letinsha teminyaka lemitsatfu titawuniketa bahlengikati labaceceshiwe litfuba lekutsi babhalisele kwenta tifundvo tabo tepostgraduate, lokutawenta kutsi batfole ticu tehonours, temasters netephd.
"
"""vhaongi vha zwifuwo vha onga mbonzhe khathihi na malwadze kha zwifuwo, u fana na zwine dokotela a ṋetshedza dzilafho ḽa muta kalo kha vhathu.
","""bodokotela betilwane bayatilapha uma tilimele noma tigula, ngendlela lefanako neyabodokotela uma balapha bantfu.
"
"vhaongi vha zwifuwo ndi vha ndeme kha sia heḽi ḽa zwifuwo, u ralo mthimkhulu.
","bahlengikati betilwane bamcoka kakhulu emacenjini ebuchwephesha abodokotela betilwane, kusho mthimkhulu.
"
"""tshiṅwe tsha zwikili zwa ndeme tshine muongi a tea u tshi sumbedzisa ndi ndondolo ya mulwadze, u davhidzana na vhathu, u thusa avho vha re kha buḓo ḽa zwifuwo nga maitele, kha thihi na zwiṅwevho zwine zwa nga thusa vhuongelo uvho ha zwifuwo uri vhu shume zwavhuḓisa.
","""lamanye emakhono lamcoka lekufuneka umhlengikati abe nawo kunakekela sigulane, kukhu luma nemaklayenti, kusita bodokotela betilwane ngetindlela tekulapha, nanganoma ngani letawusita sibhedlela setilwane kutsi sente umsebenti waso ngemphumelelo.
"
"""ndi ḽiṅwe ḽa mabuḓo a fushaho vhukuma.
","""kungulomunye wemisebenti lokhokhelako.
"
"arali ni tshi ṱoḓa u vha muongi wa zwifuwo, ni songo tenda nyofho kana u shaya nḓivho zwi tshi ni khelusa kha u nga lingedza na u ḓiphiṋa ngaḽo ngauri ḽi ḓo shandukisa vhutshilo haṋu nga nḓila ya khwiṋesa,"" u ralo mthimkhulu.
","uma ufuna kuba ngumhle ngikati wetilwane, ungavumeli kwesaba noma kuswela lwati kukuvimbele kutsi ungakulingi nekutsi ukutfokotele ngoba kutawugucula imphilo yakho ibe ngulencono,"" kusho mthimkhulu.
"
"bazari dza u thusa kha ṱhahelelo ya zwikilinga nṱhani ha ṱhahelelo khulu ya zwikili kha sekhithara iyi, mthimkhulu ha ngo lenga na u wana mushumo.
","imifundzate letawu bukana nekuswelakala kwemakhonongenca yekuswelakala kakhulu kwemakhono kulomkhakha, mthimkhulu akazange ahlupheke kutfola umsebenti.
"
"ndo vha wa mashudu u wana mushumo sibadela tsha zwifuwo tsha fourways musi ndi kha ṅwaha wanga wa u fhedzisa.
","""ngaba nenhlanhla kutfola umsebenti efourways veterinary hospital nga lesikhatsi ngenta umnyaka wekufundza wekugcina.
"
"ndo thoma u shuma hone nga murahu ha ṅwedzi musi ndo fhedza u ṅwala mulingo wanga wa u fhedza nahone ndi khou ḓiphiṋa nga tshiṅwe na tshiṅwe tshawo,"" u ralo.
","ngacala kusebenta lapho emva kwenyanga ngicedze kubhala luhlolo lwami lwekugcina futsi ngisaloku ngisitfokotela sonkhe sikhatsi salomsebenti,"" usho njalo.
"
"vha maanḓalanga a sekhithara ya pfunzo na vhupfumbudzi ha zwa mutakalo na ndondolavhathu (hwseta) vho ḓiimisela u sedzana na ṱhahelelo khulu ya zwikili kha sekhithara ya u onga zwifuwo khathihi na u vhona uri hu vhe na tshanduko.
","luphiko ihealth and welfare sector education and trai ning authority (ihwseta) lutibophelele kubukana nalokuswelakala ka khulu kwemakhono kulo mkhakha wete kulashwa kwetilwane nasekucinisekiseni kutsi kuba netingucuko.
"
"a si kale vho rwela ṱari fulo ḽa u eletshedza matshudeni nga ha buḓo heḽi ḽa saintsi ya u onga zwifuwo, nga tshumisano na muhasho wa pfunzo dza nṱha na vhupfumbudzi, nahone vha ḓo dalela zwikolo zwa mahayani u ṱuṱuwedza vha gudiswa u dzhia buḓo iḽi ḽa vhuongi ha zwifuwo sa ḽine vha nga tevhela ḽone.
","muva nje loluphiko lusandza kucala umkhankhaso lowatisa ngetemisebenti yetesayensi kutekulashwa kwetilwane, ngekusebentisana nelitiko letemfundvo lephakeme netekuce cesha, futsi batawuvakashela tikolo tasemakhaya kute bagcugcutele ba fundzi kutsi bente tifundvo temisebenti yekulashwa kwetilwane kute kube yindlela yabo yemsebenti.
"
