ven,tso
"shango ḽa israel na shango ḽa palestine a khou ṱuṱuwedzwa u edzisela afrika tshipembe nga u lwela mulalo vukuzenzele unnamed tshenzhemo yashu kha tsha nduko ya demo kirasi ndi ngudo nga ha maanḓa a u vhavhalela, a u ambedzana khathihi na a u ḓanganedza.
","isirayele, palestina ma hlohloteriwa ku encenyeta afrikadzonga hi ku lavana na ku rhula vukuzenzele unnamed ntokoto wa hina wa ku cincela eka xidemokirasi i dyondzo hi mayelana na matimba ya ntwelavusi wana, ku kanerisana na ku fikelela ntwanano.
"
"tshiimo tshine tsha khou ḓaḓa ngei shangoni ḓa israel na ngei palestine tshi khwaḓhisedza hafhu zwine riḓe sa maafrika tshipembe ra zwi ḓivha zwavhuḓi, uri dziphambano dzine dza sa fhele dzi nga kona u tandululwa nga kha nyambedzano dza mulalo.
","xiyimo lexi yaka xi tika eisi rayele na le palestina xi ya emahlweni xi tiyisisa leswi hina vanhu va afrikadzonga hi swi tivaka hi ku hetiseka, leswaku madzolonga yo tika ma nga ololoxiwa hi ku kane risana hi ndlela yo rhula.
"
"zwi dovha hafhu zwa sumbedza uri nga nnḓa ha musi zwivhangi zwa dzi phambano zwo hasele dzwa, kha iḓi fhungo, u dzu la hune ha sa vhe mulayoni ha vha shango ḓa israel kha mavu a palestine khathihi na u hanelwa ha pfanelo ya vhuḓilangi kha vhathu vha palestine, a hu nga ḓo vuwa ho vha na mulalo.
","swi tlhela swi kombisa le swaku handlekaloko ntlimbo wu lulamisiwa, eka xiyimo lexa ku tekeriwa ka misava loku nga riki enawini hi isi rayele emisaveni ya vanhu va palestina na ku alela mfa nelo ya vanhu va palestina ya ndhawu ya ku tifuma hi ndlela ya vona, a ku nge pfuki ku va na ku rhula.
"
"khakhathi dza zwenezwino dzo ḓuḓuwedzwa nga tsheo ya khothe ya israeli ya u pandela zwigwada zwa miḓa mahayani avho muvhunduni wa shei kh jarrah ngei jerusa lem vhubvaḓuvha hu tshi itelwa madzulo a israeli.
","madzolonga lawa ha ku humelelaka sweswi ya vangi wile hi xiboho xa khoto ya isirayele xo susa ntlawa wa mindyangu emakaya ya yona eka muganga wa sheikh ja rrah eeast jerusalem ku endle la vutshamo bya vanhu va isirayele.
"
"zwe vhanna, vhafumakadzi khathihi na vhana vha pandelwa mahayani e vha miḓa yavho vho dzula hone lwa tshifhinga tshila pfu vha zwi vhonisa zwone zwo vhuisa vhuḓungu khathihi na zwihumbudzo zwa muthu kha vhunzhi ha maafrika tshipembe – zwa u bviswa nga khani na u dzhiiwa ha mavu.
","ku vona vavanuna, va vasati na vana va ri karhi va susiwa emakaya lawa mindyangu ya vona yi nga tshama eka wona tinxaka na tinxaka swi tsundzuxa vanhu va afrikadzonga yo tala hi ku vaviseka ka vona hi ku angarhela na ku vaviseka ka munhu a ri swakwe – ka ku rhurhisiwa hi ku sindzisiwa na ku tekeriwa misava.
"
"ho vha u pfiswa vhuḓungu na u shoniswa zwe muḓa wanga wa ḓangana nazwo, na zwe miḓwe miḓa ya afrika tshipembe ya ḓanga na nazwo.
","a ku ri ku vaviseka na tingana leti nga langutana na ndyangu wa ka hina, na hi mindyangu yo tala ya vanhu va afrikadzonga.
"
"muḓa wanga wo pfuluswa nga khani wa iswa kha zwipiḓa zwo fhamba naho zwa shango nga nḓhani ha zwiitisi zwivhili.
","ndyangu wa ka hina wu su siwile hi ku sindzisiwa kuya eka tindhawu to hambana hambana ta tiko ku ringana kambirhi.
"
"u kombetshedzwa u bva hayani hau wo sumbwa nga tshigidi ndi mutsiko u sa konḓelelei nahone u sa leluwiho u u hangwa nahone u a fhirela u bva kha muḓwe murafho u ya kha muḓwe.
","ku susiwa ekaya ra wena hi ku sindzisiwa u kombe teriwile hi xibalesa i mhaka yo vava leyi nga rivalekiki hi ku olova, naswona yi hundzi seriwa eka tinxaka leti la ndzelaka.
"
"sa shango, ri kha ḓi tshila na masiandoitwa a masalela a zwiito zwa u kandeledzwa zwe zwa bvelwa phanḓa nazwo sa tsheo ya fhasi ha dzina ḓa nzudzanyo dzi elanaho na muvhuso wa tshiḓalula.
","tanihi tiko, ha ha hanya hi ri na ku khumbeka hi swita ndzhaku swa masalelwa ya swendlo leswo pfumala ntwe lavusiwana leswi endliweke hi vito ra makunguhatelo ya tindhawu to ta mafumelo ya xihlawuhlawu.
"
"vhoḓhe vhane ra tenda kha ndingano, vhulamukanyi na pfanelo dza vhathu, ri nga si pandelwe zwavhukuma ra sokou dinalea fhedzi, kha vhuḓungu na u nyadzwa ho itwaho kha vhathu vha palestine; ngauri zwi ri humbudza vhuḓungu na u nyadzwa hashu.
","eka hinkwavo lava va tshembaka eka ku ringana, vululami na timfanelo ta ximunhu, a ku na xin’wana handle ko va hi khumbeka no hlundzuka, hi ku vaviseka na tingana leti twisiwaka vanhu va le palestina, hikuva swi hi vuyisela eka leswi swi nga hi humelela.
"
