xho,ven
"imbeko ekhethekileyo kubasebenzi bethu benkathalelo yezempilo vukuzenzele unnamed inani lokusweleka okubangelwa yintsho longwane icorona kutsha nje lide ledlula kuphawu lwama2 000. phakathi kwabo bathe baphulukana nobomi babo ngabasebenzi bezempilo, abasebenzi abafezekileyo abebekhathalela abagulayo, kwaye bebeyinkxaso nentuthuzelo kwabo bebesesibhedlele besenziwa amakheswa kwiintsapho zabo.
","ndivhuwo dzo khetheaho kha vhashumi vha ndondolamutakalo vhashu vukuzenzele unnamed tshivhalo tsha dzimpfu dza tshitzhili tsha corona zwa zwino tsho paḓa 2000. kha vho lovhaho hu na vhashumi vha ndondolamutakalo, vho ramaṱalimakone vhe vha ṱhogomela vha lwalaho, nahone vhe vha vha thikhedzo na mukhuthadzi kha avho vha re sibadela vho khethelwaho thungo kha miṱa yavho.
"
"le yokuba amadoda naba setyhini benza le misebenzi iphakamileyo nendilisekile kangaka babe bona kuqala begula bade basweleke sisithonga esibuhlungu eso.
","zwauri vhanna na vhafumakadzi vho hwalaho mushumo wo khetheaho na u ṱhonifheaho na vhone vha khou kavhiwa nga vhulwadze vha lovha ndi zwithu zwi vhaisaho vhukuma.
"
"ngabo abangabona baphambili edabini lokulwa nalo bhubhane.
","vha tou vha tshivhindini tsha u lwa na dwadze iḽi.
"
"basebenza phantsi koxinizelelo olukhulu kuze kufuneke ukuba bathwale ubunzi ma bengqondo bokwazi ukuba basemngciphekweni wokosulelwa yile ntsholongwane.
","vha shuma vhe fhasi ha mutsiko muhulu nahone vha tea u hwala mutsiko kha muhumbulo u ḓivha zwauri vha tou vha kha khonadzeo ya khombo ya u nga kavhiwa nga vairasi.
"
"bangamaqhawe namaqhawekazi okwenene wedabi lethu lokulwa intsholongwane icorona .
","vha tou vha vhahali vhukuma kha nndwa yashu ya u lwisana na tshitzhili tsha corona .
"
"siwothulela umnqwazi la makhalipha abemi bomzantsi afrika ashiya amakhaya wabo, iintsapho kunye nabo babathandayo ukuya empangelweni engaphosi nomzuzu yonke imihla kwiikliniki, izibhedlele kunye namanye amaziko ezempilo.
","ri nea ṱhompho vhahali avha vha afrika tshipembe vhe vha ṱutshela mahaya avho, miṱa na vhafunwa vhavho vha ya mushumoni dzikiḽiniki vha sa fhidzi ḓuvha ḽiṅwe na ḽiṅwe.
"
"apho bathi babonelele khona ngenkathalelo yezempilo, inkxaso yobumabhalana nezinye iinkonzo ezifana nokucoca nokulungiselela ukutya.
","vha afho vha ṋetshedza ndondolo ya zwa dzilafho, thikhedzo ya zwa ndaulo na dziṅwe tshumelo dzi ngaho u kunakisa na u fha zwiḽiwa.
"
"njengokuba besenza oko kungumsebenzi wobizo lwabo, nathi sinoxanduva kubo neentsapho zabo.
","musi vha tshi khou ita mushu mo wavho we vha gudela, na riṋevho ri na vhuḓifhinduleli khavho na miṱa yavho.
"
"impilo yabo nokhuseleko lwabo kufuneka siyixabise kakhulu.
","mutakalo wavho na tsireledzo yavho zwi tea u vha zwone zwa ndeme.
"
"sibanika imbeko siba bekela phezulu njengamadoda nabasetyhini ababonakalise ukuba bazimisele ukubeka ubomi babo emngciphekweni ukuze kuphile thina.
","ri a vha ṱhonifha na u vha tikedza sa vhanna na vhafumakadzi vhe vha sumbedza uri vho ḓiimisela u vhea vhutshilo havho kha khonadzeo ya khombo vha tshi itela uri ri tshile.
"
"ukuze bakwazi ukwenza lo msebenzi mkhulu kangaka ufuna amandla badinga inkxaso yethu kwakunye nokhuseleko ngokubonelelwa ngezixhobo zokusebenza ezikhuselekileyo (iippe).
","khavho u ita mushumo wavho u ṱoḓaho vhuḓifhinduleli vhuhulwane vha ṱoḓa thikhedzo yashu khathihi na tsireledzo nga u ṋetshedza zwishumiswa zwa u tsireledza muthu ene muṋe (ppe).
"
"ngenkxaso yesolidarity fund nezipho ezivela kubantu ngabantu basemzantsi afrika, kumashishini, kwiingxowamali nakoorhulumente bamanye amazwe, sikwazile ukufumanela aba basebenzi bangabona baphambili edabini bakhaliphileyo izixhobo zokusebenza ezikhuselekileyo.
","nga kha thikhedzo ya tshikwama tsha mulanga na ndambedzo dzi bvaho kha vhunzhi ha vhathu vha afrika tshipembe, mabindu, dzifoundesheni na miṅwe mivhuso, ro kona u wana zwishumiswa zwa u tsireledza muthu ene muṋe hu tshi itelwa mihaga iyi ya vhashumi vha re tshivhindini.
"
