"inkundla ixhasa amaxhoba egbv more matshediso ukuba uye waba lixhoba lobundlobongela obubheki sele kwisini (igbv) kwaye udinga inkxaso enkundleni, igunyabantu lezotshutshi so lesizwe (inpa) linenkonzo ekhethekileyo yokuku nceda.
","inkantolo yeseka izisulu zegbv more matshediso uma ngabe uke wakhahlanyezwa ngudlame olubhe kiswe kubulili obuthile (igbv) futhi udinga ukwesekwa enkantolo, uphiko lwezokushushisa lukazwelonke (inpa) lunezinsiza ezikhethekileyo ukukusiza.
"
"inkqubo yeke bona lesedi court preparation iyafumaneka kuzo zonke iinkundla zamatyala ezesondo nezinye iinkundla ezijongene negbv .
","uhlelo lwenkantolo ike bona lesedi luyatholakala ezinkanto lo eziningi ezisebenza ngezenzo zokuphula umthetho wezocansi kanye nezinye izinkantolo ezisebenza ngamacala ahlobene negbv .
"
"ike bona lesedi ithetha ukuba ‘ndibona ukukhanya’ xa iguqulwa isuswa kwisetswana.
","umusho othi ke bona lesedi uhunyushelwe ususelwa olimini lwesetswana nochaza ukuthi ‘ngiyakubona ukukhanya’.
"
"ixhoba legbv lingangenisa isicelo sokuncedwa kwinpa.
","isisulu segbv singafaka isicelo sosizo kwinpa ukuze sitholeukusizakala.
"
"umtshutshisi oyintloko woluntu okanye umphathi wokulungiselela inkundla uza kukhetha igosa lokulungiselela inkundla elifanelekileyo ukulinceda.
","umshushisiomkhulu womphakathi noma umphathi wenkantolo uzoqoka isikhulu senkantolo ukuze sikusize.
"
"""inkonzo ayithembisi isiphumo esithile setyala kwaye amava omntu ngamnye ahlukile.
","""lo msebenzi awuthembisi imiphumela ethile okwamanje futhi udaba lomunye nomunye lwehlukile.
"
"nangona kunjalo, koko inceda ngokulixhobisa futhi libuyisele isidima sexhoba,"" itsho ingxelo evela kwinpa.
","noma kunjalo, usiza kakhulu ekunikeni amandla futhi ubuyise isithunzi saleso sisulu,"" kusho isitatimende senpa.
"
"kukho amagosa wokulungi selela inkundla ali162 kwiinkundla ezahlukileyo kwisizwe jikelele.
","kunezikhulu zenkantoloezingama161 ezinkantolo ezahlukene ezweni jikelele.
"
"le nkonzo yenye yamanyathe lo ahlukileyo aziswa ngurhu lumente ukulwa nesihelegu segbv .
","lo msebenzi ungezinye zezinyathelo eziza nohulumeni ukubhekana nesihlava esihambisana negbv .
"
"ngokwenpa, ummangali,ixhoba, osindileyo okanye ingqina kuza kuqhagamshelwana nalo ligosa lokulungiselela inkundla elivela kwinkundla apho kufuneka anike ubungqina.
","ngokusho kwenpa, onesikhalazo, isisulu, osindile noma ufakazi bazothintwa yizikhulu zenkantolo zalapho ezothula khona ubufakazi bakhe khona.
"
