zul,sep
"ukuguqula umkhakha wezolimo vukuzenzele unnamed kamuva nje, umnyango wezolimo, ukuguqulwa komhlaba kanye nokuthuthukiswa kwezindawo zasemakhaya (idlrd) wamemezela ukuthi amalungu omphakathi azokwazi ukufaka izicelo zokuqasha umhlaba wombuso ongamahe ktha ayizi700 000 ongasetshenziswa noma ohleli nje ezifundazweni eziyisikhombisa.
","lefapha la temo le a fetošwa vukuzenzele unnamed mo nakong ye e sa tšwago go feta, kgoro ya temo, peakanyoleswa ya naga le tlhabollo ya dinagamagae (dlrd) e tsebagaditše gore maloko a setšhaba a tla kgona go dira dikgopelo tša go hiriša dihekthara tše 700 000 tša naga ya mmušo yeo e sa šomišwego goba e sa dirišwego diprofenseng tše šupa.
"
"ezolimo ziyinsika yesisekelo sokumbiwa phansi kwe mvelo.
","naga ya temo ke motheo wa rena wa methopo ya tlhago.
"
"ukuba khona nokuse tshenziswa okusimeme kwendawo yokulima izitshalo nokufuya izilwane sizonqoba ngakho.
","go ba gona le tšhomišo yeo e swarelelago ya naga ya temo go bjala dibjalo le go rua diphoofolo go bohlokwa kudu gore re kgone go phela.
"
"iningizimu afrika inomhlaba omningi kakhulu olungele umkhiqizo wezolimo, ama37.9% omhlaba wethu wonke njengamanje usetshenziselwa ezolimo ukuze kuthengiswe.
","afrika borwa e na le naga ye kgolo ye e lego maleba tšweletšong ya temo, ka seripa sa go lekana 37, 9% sa naga ya gaborena ka moka sa go šomišetšwa temo ya kgwebo.
"
"njengamanye amazwe, umhlaba wethu ovundile usengcupheni yokuncipha kokuvunda, ukungabi namanzi ngokwanele kanye nokusetshenziswa komhlaba ukwakha kuwona.
","go swana le dinaga tše di ngwe tše ntši, naga ya rena ya temo e kotsing mabapi le go gwahlafala ga naga, tlhaelelo ya meetse le pitlagano ya metsesetoropo.
"
"siphinde silahlekelwe umhlaba wokulima omkhulu kakhulu ngenxa yezinguquko ekusetshe nzisweni komhlaba.
","re lahlegelwa gape ke naga yeo e bego e beetšwe temo ka lebaka la diphetogo tša tšhomišo ya naga.
"
"uma sibheka umlando wethu, ukunweba ukufinyelela emhlabeni wokulima imikhiqizo ezothengiswa nokulimela ukuziphilisa kuyinto eseqhulwini kuzwelonke.
","go lebeletšwe histori ya rena, go atiša khumanego ya naga ya temo ditšweletšong tša kgwebo le temo ya go iphediša ke morero wo o tlago pele setšhabeng.
"
"yize uhlelo lokuguqulwa komhlaba lwangasemva kowe1994 luholele ekubu yisweni komhlaba omningi wabuyiselwa kubantu aba nsundu baseningizimu afrika, umphumela oyingozi womthetho wangowe1913 womhlaba wabomdabu uyaqhubeka nokubonakala ebunikazini bomhlaba wokulima.
","le ge e le gore ditshepedišo tša dipeakanyoleswa tša naga morago ga 1994 di tlišitše dipoelo tša gore naga ye ntši e bušetšwe sekeng le go fiwa maafrika borwa a bathobaso, ditlamorago tša molao wo mobe wa 1913 wa naga ya bathobaso o tšwela pele ka sebopego sa bao ba nago le dipolasa.
"
"lo mthetho waqhubeka na ngaphezu kokuphuca izigidi zabantu umhlaba wokhokho babo.
","molao wo o sentše kudu le go amoga dimilione tša batho naga ya bomakgolokhukhu ba bona.
"
"njengoba ubunikazi bomhlaba busesezandleni zabayidlanzana, nokukhiqizwa kwezolimo okukhulu nemisebenzi ehambisana nokukhiqizwa iphethwe ngabalimi abamhlo phe, imiphumela ye sikhathi sethu esedlule isalokhu inathi namuhla.
","ka ge taolo ya naga e sa ntše e le ka matsogong a batho ba mmalwa, mola tšweletšo ya motheo ya temo le dithekišetšano tša gona di sa ntše di laolwa ka boati ke balemi ba bathobašweu, ditlamorago tša fao re tšwago gona di sa ntše di sa na le rena le matšatšing a lehono.
"
"ukuqhubeka nokubusa wedwa emikhiqizweni eba lulekile njengomhlaba akusiso nje isithikamezo ekwenzeni ngcono umphakathi oli nganayo; kuzodala inxu shunxushu emphakathini.
","kgwebanoši yeo e tšwelago pele ya mekgwa ye bohlokwa ya tšweletšo ya go swana le naga ga se fela lepheko la go bopa setšhaba sa go lekalekana; e tliša le seemo sa dikgaruru setšhabeng.
"
"ukulambela umhlaba wokulima kuyakhula, ikakhulukazi kulabo abadla imbuya ngothi emakhaya.
","tlhologelo ya go ba le naga ya temo e golela pele, kudukudu magareng ga batho ba go itlhokela ba dinagamagaeng.
"
"ngezizathu eziningi, ukuguqulwa ko mhlaba kulo mkhakha ku hamba ngonyawo lonwabu futhi akugculisi.
","ka lebaka la mabaka a mantši, kgatelopele ya peakanyoleswa ya naga lefapheng le e ya nanya ebile ga e kgotsofatše.
"
"ukuguqula ukuphathwa kobunikazi bomhlaba wokulima kubaluleke kakhulu hhayi nje ukuze kubhekanwe no mlando ongenabulungiswa, kodwa ukuze sivikele ukuphepha kokudla kwesizwe sethu.
","go fetoša mekgwa ya taolo ya naga ya temo go bohlokwa kudu, e sego fela ka go rarolla ditiragalo tša tlhokego ya toka tša nakong ye e fetilego eupša le go šireletša tšhireletšego dijong go setšhaba sa gaborena.
"
"njengoba kubekiwe embi kweni wangowezi2019 wesi gungu eseluleka umongameli ngokuguqulwa komhlaba kanye nezolimo, ""ngesikhathi thina sithumela ukudla kwamanye amazwe, emuva ekhaya abantu abangama41% ezindaweni zasemakhaya kanye nabangama59.4% emadolobheni abafinyeleli ngokwanele ekudleni.""
","go ya le ka fao go tsebagaditšwego ka gare ga pego ya 2019 ya komitikeletšo ya mopresidente ka ga mpshafatšo ya naga le temo, ""ge re le gare re romela dijo dinageng tša ka ntle, ka mo nageng ya rena 41% ya batho bao ba lego metsemagaeng le ba 59,4% ya bao ba lego metsesetoropong ba na le tlhaelelo ye šoro ya go hwetšagala ga dijo.""
"
"ukuguqulwa kwezolimo bekulokhu kuseqhulwini kubaphathi abalandelanayo kusukela kwintando yeningi labantu.
","mekgwa ya peakanyoleswa ya naga yatemo e bile morero wo o tlago pele go basepediši ba mmušo ka go latelana ga bona go tloga mola temokrasi e re fihlelago.
"
"phakathi kowe1994 nondasa kowezi2018 uhulu meni unikeze amahektha omhlaba ayizigidi eziyisi8.4 kubantu abebencishwe amathuba ngaphansi kohlelo lokuguqulwa komhlaba.
","magareng ga 1994 le hlakola 2018 mmušo o fane ka naga ya dihekthara tše 8,4 milione go bao kgale ba bego ba phaetšwe thoko ka fase ga lenaneo la peakanyoleswa ya naga.
"
"kodwa le nqubekelapha mbili ilingana nokungaphansi kwe10% komhlaba ophelele wokulima.
","eupša yona kgatelopele ye e ka fase ga 10% ya naga ya ditšweletšwa tša go rekišetšwa setšhaba.
"
"enkulumweni yami yesimo sezwe ekuqaleni kwalo nyaka ngazibophezela ukuthi umhlaba wokulima ongapha nsi kukahulumeni uzodede lwa maduze ukuze kulinywe.
","polelong ya ka ya maemo a naga mathomong a ngwaga wo ke ikgafile gore naga ya temo yeo e laolwao ke mmušo e tla lokollwa go se go ye kae gore e dirišetšwe temo.
"
